idx,repeat,params_sigma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0,0,0.1,0.1958038024831022,0.9991214970194362,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.018452882766723633
0,1,0.1,0.24215279865159633,0.9986757076025993,1.0,1.0,0.0,1.0,1.0,0.96,20,1,0.014589309692382812
0,2,0.1,0.6725719783403525,0.9968778432141668,1.0,1.0,0.0,1.0,1.0,0.96,20,2,0.015441656112670898
0,3,0.1,1.0038929546230633,0.9950328835759925,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,3,0.014251232147216797
0,4,0.1,0.40195964680113394,0.9983547015290806,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.014879703521728516
0,5,0.1,2.308860132127309,0.9895764276476019,1.0,1.0,0.0,1.0,1.0,0.96,20,5,0.0157778263092041
0,6,0.1,0.14143341278030377,0.9992370913890014,1.0,1.0,0.0,1.0,1.0,0.96,20,6,0.015346527099609375
0,7,0.1,0.5811598078056007,0.9977110478732195,1.0,1.0,0.0,1.0,1.0,0.96,20,7,0.014716148376464844
0,8,0.1,0.17109174157906235,0.9989324084310094,1.0,1.0,0.0,1.0,1.0,0.96,20,8,0.01580357551574707
0,9,0.1,0.3397734557547435,0.9984978081797103,1.0,1.0,0.0,1.0,1.0,0.96,20,9,0.01637864112854004
0,10,0.1,0.23131032537502857,0.9980059209560896,1.0,1.0,0.0,1.0,1.0,0.96,20,10,0.014247417449951172
0,11,0.1,0.5471893957673296,0.9973941431952906,1.0,1.0,0.0,1.0,1.0,0.96,20,11,0.015508890151977539
0,12,0.1,0.29404604439352205,0.9986818055089224,1.0,1.0,0.0,1.0,1.0,0.96,20,12,0.0164794921875
0,13,0.1,0.40406642271555165,0.9981949830894443,1.0,1.0,0.0,1.0,1.0,0.96,20,13,0.014200210571289062
0,14,0.1,0.30103525958585453,0.9985415292033555,1.0,1.0,0.0,1.0,1.0,0.96,20,14,0.015630006790161133
0,15,0.1,1.1999939015635495,0.9924229990983303,1.0,1.0,0.0,1.0,1.0,0.96,20,15,0.0160830020904541
0,16,0.1,0.39904943155769623,0.9984190471150234,1.0,1.0,0.0,1.0,1.0,0.96,20,16,0.013803243637084961
0,17,0.1,0.25574496823517684,0.9985851078414079,1.0,1.0,0.0,1.0,1.0,0.96,20,17,0.014857292175292969
0,18,0.1,0.7224460288993908,0.9965046879176095,1.0,1.0,0.0,1.0,1.0,0.96,20,18,0.015211105346679688
0,19,0.1,0.5736535067166117,0.9977637024857731,1.0,1.0,0.0,1.0,1.0,0.96,20,19,0.014780998229980469
1,0,0.3,0.25699373310148727,0.998840993818922,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.01688861846923828
1,1,0.3,0.34327949887064224,0.9981302170073595,1.0,1.0,0.0,1.0,1.0,0.96,20,1,0.015356779098510742
1,2,0.3,0.8281583067352678,0.9961492932787159,1.0,1.0,0.0,1.0,1.0,0.96,20,2,0.015314102172851562
1,3,0.3,1.1286211200926544,0.9943964014294907,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,3,0.015020132064819336
1,4,0.3,0.5304782098777218,0.9978334285915316,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.014696836471557617
1,5,0.3,2.307994028857309,0.9895492002274396,1.0,1.0,0.0,1.0,1.0,0.96,20,5,0.016544342041015625
1,6,0.3,0.2184398341739863,0.9988210271830826,1.0,1.0,0.0,1.0,1.0,0.96,20,6,0.015640735626220703
