idx,repeat,params_sigma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
2,4,0.5,0.6277251293163514,0.997442794425569,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.0149703025817871
2,5,0.5,2.5289442143919327,0.9885195623088426,1.0,1.0,0.0,1.0,1.0,0.96,20,5,0.016019582748413
2,6,0.5,0.3889599538568893,0.997900416072382,1.0,1.0,0.0,1.0,1.0,0.96,20,6,0.0152986049652099
2,7,0.5,0.9332918755776024,0.9963592545665196,1.0,1.0,0.0,1.0,1.0,0.96,20,7,0.0142111778259277
2,8,0.5,0.5616932774307111,0.996543656205832,1.0,1.0,0.0,1.0,1.0,0.96,20,8,0.0154430866241455
2,9,0.5,0.6010188029149778,0.9973420669510132,1.0,1.0,0.0,1.0,1.0,0.96,20,9,0.0167405605316162
2,10,0.5,0.5443109446161771,0.995315522152447,1.0,1.0,0.0,1.0,1.0,0.96,20,10,0.0142014026641845
2,11,0.5,0.9357388839617928,0.995547127683346,1.0,1.0,0.0,1.0,1.0,0.96,20,11,0.0155096054077148
2,12,0.5,0.5603860591405839,0.9975088830352544,1.0,1.0,0.0,1.0,1.0,0.96,20,12,0.0169088840484619
2,13,0.5,0.8088980361411747,0.996419442960327,1.0,1.0,0.0,1.0,1.0,0.96,20,13,0.0143704414367675
2,14,0.5,0.4909388743999648,0.9976076680802788,1.0,1.0,0.0,1.0,1.0,0.96,20,14,0.0158171653747558
2,15,0.5,1.4104029337569302,0.9911300330869808,1.0,1.0,0.0,1.0,1.0,0.96,20,15,0.0166242122650146
2,16,0.5,0.8240108658725848,0.9967316020392334,1.0,1.0,0.0,1.0,1.0,0.96,20,16,0.01348876953125
2,17,0.5,0.6786066702154093,0.9962623286695328,1.0,1.0,0.0,1.0,1.0,0.96,20,17,0.0144829750061035
2,18,0.5,0.9503462684289936,0.9954109302957638,1.0,1.0,0.0,1.0,1.0,0.96,20,18,0.0150651931762695
2,19,0.5,0.8778362093839643,0.9965865256493238,1.0,1.0,0.0,1.0,1.0,0.96,20,19,0.014967918395996
2,3,0.5,1.3521684756422216,0.9932669111460632,0.975609756097561,1.0,0.0476190476190476,0.9523809523809524,1.0,0.958,21,3,0.0154604911804199
3,1,0.7,0.7539328636271054,0.9959310512539914,1.0,1.0,0.0,1.0,1.0,0.96,20,1,0.0152525901794433
3,2,0.7,1.395659720666386,0.9934952114756485,1.0,1.0,0.0,1.0,1.0,0.96,20,2,0.0147144794464111
3,4,0.7,0.9802825488291858,0.9960181335563996,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.0147554874420166
3,5,0.7,2.869512475905903,0.9869461488923004,1.0,1.0,0.0,1.0,1.0,0.96,20,5,0.0168273448944091
3,6,0.7,0.6111079840243883,0.9967023271757816,1.0,1.0,0.0,1.0,1.0,0.96,20,6,0.0153405666351318
3,7,0.7,1.2682042149710318,0.9950789901999002,1.0,1.0,0.0,1.0,1.0,0.96,20,7,0.0144946575164794
3,8,0.7,0.9277376272683796,0.9943352055659468,1.0,1.0,0.0,1.0,1.0,0.96,20,8,0.0154237747192382
3,9,0.7,0.9309888526246444,0.9958839623335968,1.0,1.0,0.0,1.0,1.0,0.96,20,9,0.0167608261108398
3,11,0.7,1.31681538562507,0.9937405011526572,1.0,1.0,0.0,1.0,1.0,0.96,20,11,0.0157849788665771
3,12,0.7,0.8124205258894971,0.9964050761016556,1.0,1.0,0.0,1.0,1.0,0.96,20,12,0.0168652534484863
3,13,0.7,1.0249810517027638,0.9954856138737448,1.0,1.0,0.0,1.0,1.0,0.96,20,13,0.0145318508148193
3,14,0.7,0.6823071180538521,0.9966670552279662,1.0,1.0,0.0,1.0,1.0,0.96,20,14,0.0162122249603271
3,16,0.7,1.231557541393297,0.9951151153250676,1.0,1.0,0.0,1.0,1.0,0.96,20,16,0.0138332843780517
3,17,0.7,1.0662306936122046,0.9941450690453864,1.0,1.0,0.0,1.0,1.0,0.96,20,17,0.0142364501953125
3,19,0.7,1.1663116084264753,0.9954729335454764,1.0,1.0,0.0,1.0,1.0,0.96,20,19,0.0152394771575927
3,0,0.7,0.7116219191695934,0.9967601602804358,0.975609756097561,1.0,0.0476190476190476,0.9523809523809524,1.0,0.958,21,0,0.0180561542510986
3,10,0.7,0.8710032417661405,0.992518174657235,0.975609756097561,1.0,0.0476190476190476,0.9523809523809524,1.0,0.958,21,10,0.0150473117828369
3,15,0.7,1.669403782478288,0.9895294590862412,0.975609756097561,1.0,0.0476190476190476,0.9523809523809524,1.0,0.958,21,15,0.0173048973083496
3,18,0.7,1.1887998006628766,0.9942681950303628,0.975609756097561,1.0,0.0476190476190476,0.9523809523809524,1.0,0.958,21,18,0.0158843994140625
3,3,0.7,1.6931264757013864,0.9915491901186604,0.9523809523809524,1.0,0.0909090909090909,0.9090909090909092,1.0,0.956,22,3,0.0157389640808105
4,2,1.0,2.0881543107614187,0.9902582250219356,1.0,1.0,0.0,1.0,1.0,0.96,20,2,0.0153720378875732
4,17,1.0,1.860826803842639,0.9898379457098564,1.0,1.0,0.0,1.0,1.0,0.96,20,17,0.0144970417022705
4,19,1.0,1.8537101148082424,0.9928289220726136,1.0,1.0,0.0,1.0,1.0,0.96,20,19,0.0155072212219238
4,5,1.0,3.517608222506444,0.98396088059869,0.975609756097561,1.0,0.0476190476190476,0.9523809523809524,1.0,0.958,21,5,0.0175399780273437
4,9,1.0,1.590283067715199,0.9929757259610612,0.975609756097561,1.0,0.0476190476190476,0.9523809523809524,1.0,0.958,21,9,0.016197919845581
4,11,1.0,2.0235568599839704,0.9904050776971812,0.975609756097561,1.0,0.0476190476190476,0.9523809523809524,1.0,0.958,21,11,0.0162515640258789
4,12,1.0,1.4006385304492863,0.9938477964037516,0.975609756097561,1.0,0.0476190476190476,0.9523809523809524,1.0,0.958,21,12,0.0159521102905273
4,14,1.0,1.150936735548101,0.994360704445538,0.975609756097561,1.0,0.0476190476190476,0.9523809523809524,1.0,0.958,21,14,0.0161242485046386
4,18,1.0,1.7807611399952488,0.99143950890564,0.975609756097561,1.0,0.0476190476190476,0.9523809523809524,1.0,0.958,21,18,0.0164399147033691
