idx,params_lambda_,params_gamma,params_group_threshold,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0,0.001,0.1,0.5,1220.0098990652607,-97.47929033027623,0.1950228567479241,1.0,0.8919379969911884,0.10806200300881152,1.0,0.07333333333333336,46.333333333333336,1.0,0.9769383271535238
1,0.001,0.1,0.7,976.9997772603975,-78.41544780225348,0.196279769769543,1.0,0.8911671058410189,0.10883289415898112,1.0,0.08,46.0,1.0,0.011455853780110678
2,0.001,0.1,0.9,877.5987369662163,-69.76654575598204,0.19758695931202666,1.0,0.8903619528619529,0.10963804713804715,1.0,0.08666666666666667,45.666666666666664,1.0,0.01070245107014974
3,0.001,0.3,0.5,1215.2870995735932,-97.11957492498806,0.1950228567479241,1.0,0.8919379969911884,0.10806200300881152,1.0,0.07333333333333336,46.333333333333336,1.0,0.020558834075927734
4,0.001,0.3,0.7,974.8962748926224,-78.24861992173858,0.19748925211110083,1.0,0.8904283351554397,0.10957166484456031,1.0,0.08666666666666667,45.666666666666664,1.0,0.011675675710042318
5,0.001,0.3,0.9,876.1062114666975,-69.65287908052544,0.19879644165358448,1.0,0.8896231821763737,0.11037681782362634,1.0,0.09333333333333334,45.333333333333336,1.0,0.010897318522135416
6,0.001,0.5,0.5,1210.6852445987672,-96.7679440997424,0.1950228567479241,1.0,0.8919379969911884,0.10806200300881152,1.0,0.07333333333333336,46.333333333333336,1.0,0.020508289337158203
7,0.001,0.5,0.7,972.984895703486,-78.09559010440377,0.19748925211110083,1.0,0.8904283351554397,0.10957166484456031,1.0,0.08666666666666667,45.666666666666664,1.0,0.01172622044881185
8,0.001,0.5,0.9,874.8016033452797,-69.5526445208024,0.19879644165358448,1.0,0.8896231821763737,0.11037681782362634,1.0,0.09333333333333334,45.333333333333336,1.0,0.010887463887532553
9,0.01,0.1,0.5,353.1151787175616,-28.610288335792664,0.258705108059484,1.0,0.8511873942908426,0.14881260570915744,1.0,0.32,34.0,1.0,0.010702292124430338
10,0.01,0.1,0.7,433.5187934005325,-35.83983360076716,0.2878387725586367,1.0,0.8316289445321704,0.16837105546782968,1.0,0.39999999999999997,30.0,1.0,0.006967703501383464
11,0.01,0.1,0.9,433.73815749533395,-35.858920509342674,0.2902095644031128,1.0,0.8300506617038875,0.16994933829611247,1.0,0.4066666666666667,29.666666666666668,1.0,0.008231798807779947
12,0.01,0.3,0.5,344.6900601995471,-27.929689005586535,0.2616759933833105,1.0,0.8491348491348493,0.15086515086515087,1.0,0.32666666666666666,33.666666666666664,1.0,0.010669310887654623
13,0.01,0.3,0.7,427.8475505412452,-35.37507965216646,0.2855895597831082,1.0,0.8331143871940836,0.1668856128059164,1.0,0.3933333333333333,30.333333333333332,1.0,0.006987412770589192
14,0.01,0.3,0.9,428.98940558679374,-35.474432661056134,0.2927120669056153,1.0,0.8283705541770058,0.17162944582299422,1.0,0.41333333333333333,29.333333333333332,1.0,0.00663908322652181
15,0.01,0.5,0.5,336.92040556042133,-27.30050952105981,0.2616759933833105,1.0,0.8491348491348493,0.15086515086515087,1.0,0.32666666666666666,33.666666666666664,1.0,0.010598977406819662
16,0.01,0.5,0.7,422.18310402600724,-34.91289635865811,0.28308705728060574,1.0,0.8347944947209652,0.1652055052790347,1.0,0.38666666666666666,30.666666666666668,1.0,0.007029136021931966
17,0.01,0.5,0.9,424.2974366791902,-35.09686481569329,0.2902095644031128,1.0,0.8300506617038875,0.1699493382961125,1.0,0.4066666666666667,29.666666666666668,1.0,0.006647189458211263
18,0.1,0.1,0.5,28.12521615312653,-1.3270986234985809,0.6796906796906798,1.0,0.47827635327635326,0.5217236467236467,1.0,0.8000000000000002,10.0,1.0,0.007585207621256511
19,0.1,0.1,0.7,16.499092771438033,-0.3239737187618258,0.8585858585858585,1.0,0.24603174603174602,0.753968253968254,1.0,0.8666666666666667,6.666666666666667,1.0,0.00471186637878418
20,0.1,0.1,0.9,16.49911381894983,-0.3239755501095391,0.8585858585858585,1.0,0.24603174603174602,0.753968253968254,1.0,0.8666666666666667,6.666666666666667,1.0,0.004495461781819661
21,0.1,0.3,0.5,33.33610081531458,-1.7767946724278965,0.6905839258780436,1.0,0.46759259259259256,0.5324074074074074,1.0,0.8066666666666666,9.666666666666666,1.0,0.007698933283487956
22,0.1,0.3,0.7,17.45881095644523,-0.40605474378120276,0.8585858585858585,1.0,0.24603174603174602,0.753968253968254,1.0,0.8666666666666667,6.666666666666667,1.0,0.004686276117960612
23,0.1,0.3,0.9,17.458837502346856,-0.4060570535447848,0.8585858585858585,1.0,0.24603174603174602,0.753968253968254,1.0,0.8666666666666667,6.666666666666667,1.0,0.004506270090738933
24,0.1,0.5,0.5,37.067519093560065,-2.098132529994881,0.6905839258780436,1.0,0.46759259259259256,0.5324074074074074,1.0,0.8066666666666666,9.666666666666666,1.0,0.007581869761149089
25,0.1,0.5,0.7,18.19980555683908,-0.46922204477055046,0.8585858585858585,1.0,0.24603174603174602,0.753968253968254,1.0,0.8666666666666667,6.666666666666667,1.0,0.004674673080444336
26,0.1,0.5,0.9,18.19979567473968,-0.4692211849273386,0.8585858585858585,1.0,0.24603174603174602,0.753968253968254,1.0,0.8666666666666667,6.666666666666667,1.0,0.004501899083455403
