mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
212.3138312631566,0.027244247484391027,0.5714285714285715,0.4,0.0,1.0,0.4,0.984,8,0,0.011133670806884766
178.10173066685033,0.08588804437169018,0.6666666666666666,0.5,0.0,1.0,0.5,0.98,10,1,0.010773181915283203
173.82056326355237,0.05999026622295922,0.6206896551724138,0.45,0.0,1.0,0.45,0.982,9,2,0.010350465774536133
184.36486457732815,0.07218450013146682,0.5714285714285715,0.4,0.0,1.0,0.4,0.984,8,3,0.01006174087524414
268.79389864888515,0.008466979274757036,0.6666666666666666,0.5,0.0,1.0,0.5,0.98,10,4,0.010411262512207031
