sigma,method,mse,tpr,fdr,f1,n_selected
1.0,1. UniLasso (基准),1.9672,1.0,0.3421,0.7937,76.0
1.0,2. 软约束,,0.0,0.0,0.0,0.0
1.0,3. 软约束+自适应惩罚,,0.0,0.0,0.0,0.0
1.0,4. 软约束+组约束,,0.0,0.0,0.0,0.0
1.0,5. 完整XLasso,,0.0,0.0,0.0,0.0
