sigma,snr,model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std
0.5,2.0,AdaptiveFlippedLassoCV,0.9696,0.0316,0.2862,0.0181,1.0,0.0,0.0532,0.0533,0.9468,0.0533,1.0,0.0,0.9801,0.0023
1.0,1.0,AdaptiveFlippedLassoCV,0.9401,0.0452,1.0873,0.0719,1.0,0.0,0.1023,0.0745,0.8977,0.0745,1.0,0.0,0.9282,0.0084
2.0,0.5,AdaptiveFlippedLassoCV,0.8546,0.0601,4.4585,0.3648,0.998,0.0063,0.2319,0.083,0.7681,0.083,0.998,0.0063,0.7543,0.0312
5.0,0.2,AdaptiveFlippedLassoCV,0.5537,0.0848,30.3296,2.1415,0.752,0.1128,0.5113,0.1092,0.4887,0.1092,0.752,0.1128,0.2208,0.046
10.0,0.1,AdaptiveFlippedLassoCV,0.2067,0.0938,114.0191,7.1625,0.224,0.0947,0.522,0.1722,0.298,0.1785,0.224,0.0947,-0.0151,0.0296
