sigma,snr,model,f1_mean,f1_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,mse_mean,mse_std,r2_mean,r2_std
0.5,2.0,AdaptiveLassoCV (fixed),0.0223,0.014,0.1425,0.0893,0.9379,0.2209,0.0121,0.0076,0.1425,0.0893,0.7758,0.0528,224.15,52.8426,1.1582,1.0215,-3.9847,3.925
0.5,2.0,LassoCV,0.0,0.0,0.0,0.0,0.05,0.2236,0.0,0.0,0.0,0.0,0.9996,0.0018,0.4,1.7889,0.2405,0.0425,-0.0204,0.0234
0.5,2.0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.0,0.0,0.0,0.0,0.3,0.4702,0.0,0.0,0.0,0.0,0.9991,0.0025,0.95,2.5438,0.241,0.0426,-0.0224,0.0227
0.5,2.0,RelaxedLassoCV,0.0,0.0,0.0,0.0,0.8,0.4104,0.0,0.0,0.0,0.0,0.9948,0.0044,5.25,4.4471,0.2711,0.0487,-0.1573,0.1358
0.5,2.0,UnilassoCV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6462,0.6233,-1.695,2.1405
1.0,1.0,AdaptiveLassoCV (fixed),0.0204,0.0118,0.135,0.078,0.9389,0.2211,0.0111,0.0064,0.135,0.078,0.7678,0.0547,232.15,54.7273,4.6308,3.9443,-3.9792,3.811
1.0,1.0,LassoCV,0.0,0.0,0.0,0.0,0.05,0.2236,0.0,0.0,0.0,0.0,0.9988,0.0056,1.25,5.5902,0.9648,0.1716,-0.0234,0.0238
1.0,1.0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.0,0.0,0.0,0.0,0.4,0.5026,0.0,0.0,0.0,0.0,0.999,0.0025,1.05,2.5231,0.9642,0.1708,-0.0229,0.023
1.0,1.0,RelaxedLassoCV,0.0,0.0,0.0,0.0,0.9,0.3078,0.0,0.0,0.0,0.0,0.9947,0.0044,5.3,4.426,1.0838,0.1943,-0.1564,0.1294
1.0,1.0,UnilassoCV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3364,0.6253,-0.4096,0.4958
2.0,0.5,AdaptiveLassoCV (fixed),0.0209,0.0117,0.145,0.0809,0.9387,0.221,0.0113,0.0063,0.145,0.0809,0.7556,0.0576,244.35,57.5969,18.8635,15.0025,-4.1058,3.6597
2.0,0.5,LassoCV,0.0,0.0,0.0,0.0,0.05,0.2236,0.0,0.0,0.0,0.0,0.9992,0.0036,0.8,3.5777,3.8556,0.6847,-0.0226,0.0232
2.0,0.5,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.0,0.0,0.0,0.0,0.55,0.5104,0.0,0.0,0.0,0.0,0.999,0.0024,1.05,2.3946,3.8579,0.685,-0.0233,0.0235
2.0,0.5,RelaxedLassoCV,0.0,0.0,0.0,0.0,0.95,0.2236,0.0,0.0,0.0,0.0,0.9944,0.0042,5.55,4.2485,4.3357,0.7719,-0.1576,0.132
2.0,0.5,UnilassoCV,0.0,0.0,0.0,0.0,0.1,0.3078,0.0,0.0,0.0,0.0,0.9998,0.0005,0.15,0.4894,4.1511,0.9176,-0.1008,0.1163
3.0,0.33,AdaptiveLassoCV (fixed),0.0221,0.0126,0.1575,0.0893,0.9381,0.2209,0.0119,0.0068,0.1575,0.0893,0.7482,0.0594,251.85,59.43,43.2462,33.8709,-4.2298,3.6932
3.0,0.33,LassoCV,0.0,0.0,0.0,0.0,0.05,0.2236,0.0,0.0,0.0,0.0,0.9991,0.004,0.9,4.0249,8.6748,1.5426,-0.0228,0.0233
3.0,0.33,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.0,0.0,0.0,0.0,0.6,0.5026,0.0,0.0,0.0,0.0,0.9988,0.0024,1.15,2.3902,8.6814,1.5444,-0.0235,0.024
3.0,0.33,RelaxedLassoCV,0.0,0.0,0.0,0.0,0.95,0.2236,0.0,0.0,0.0,0.0,0.9936,0.005,6.35,5.0291,9.8547,1.7252,-0.1679,0.116
3.0,0.33,UnilassoCV,0.0,0.0,0.0,0.0,0.2,0.4104,0.0,0.0,0.0,0.0,0.9993,0.0019,0.7,1.8666,8.8536,1.6641,-0.0446,0.0587
