model,f1_mean,f1_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,mse_mean,mse_std,r2_mean,r2_std
AdaptiveLassoCV (fixed),0.0214,0.0123,0.145,0.0833,0.9384,0.2167,0.0116,0.0067,0.145,0.0833,0.7619,0.0562,238.125,56.1712,16.9747,24.7302,-4.0749,3.7028
LassoCV,0.0,0.0,0.0,0.0,0.05,0.2193,0.0,0.0,0.0,0.0,0.9992,0.0039,0.8375,3.9183,3.4339,3.4375,-0.0223,0.023
"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.0,0.0,0.0,0.0,0.4625,0.5017,0.0,0.0,0.0,0.0,0.999,0.0024,1.05,2.4178,3.4361,3.4403,-0.023,0.0228
RelaxedLassoCV,0.0,0.0,0.0,0.0,0.9,0.3019,0.0,0.0,0.0,0.0,0.9944,0.0045,5.6125,4.482,3.8863,3.9032,-0.1598,0.1261
UnilassoCV,0.0,0.0,0.0,0.0,0.075,0.2651,0.0,0.0,0.0,0.0,0.9998,0.001,0.2125,0.9897,3.7468,3.4066,-0.5625,1.2719
