sigma,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std,snr
0.1,0.9917,0.0126,0.6906,0.5716,1.0,0.0,0.0161,0.0245,0.9839,0.0245,1.0,0.0,0.9907,0.0076,10.0
0.3,0.9846,0.0188,0.807,0.5805,1.0,0.0,0.0297,0.0356,0.9703,0.0356,1.0,0.0,0.9891,0.0077,3.33
0.5,0.9747,0.0218,1.034,0.5888,1.0,0.0,0.0486,0.041,0.9514,0.041,1.0,0.0,0.9861,0.0079,2.0
0.7,0.9603,0.0238,1.3617,0.6092,1.0,0.0,0.0754,0.044,0.9246,0.044,1.0,0.0,0.9817,0.0084,1.43
1.0,0.9405,0.0322,2.0895,0.6537,1.0,0.0,0.1106,0.0573,0.8894,0.0573,1.0,0.0,0.9721,0.0098,1.0
1.5,0.9068,0.0421,3.8814,0.863,0.994,0.0193,0.1643,0.0654,0.8357,0.0654,0.994,0.0193,0.9489,0.0148,0.67
2.0,0.8641,0.0512,6.3603,1.1925,0.964,0.0441,0.2146,0.0697,0.7854,0.0697,0.964,0.0441,0.9179,0.0221,0.5
3.0,0.7146,0.0697,13.0113,2.1878,0.854,0.0762,0.3823,0.0798,0.6177,0.0798,0.854,0.0762,0.842,0.0398,0.33
