experiment_id,experiment_name,family,repeat,sigma,mse,accuracy,auc,tpr,fdr,f1,n_selected,est_error,time_seconds
exp1,高维成对相关稀疏回归,gaussian,1,0.5,0.6776212100238015,nan,nan,1.0,0.7297297297297297,0.425531914893617,74,0.0019440092901290259,2.574512481689453
exp1,高维成对相关稀疏回归,gaussian,1,1.0,6.802441957953105,nan,nan,0.95,0.8041237113402062,0.3247863247863248,97,0.017397639443484225,1.319669246673584
exp1,高维成对相关稀疏回归,gaussian,1,2.5,12.290942995441691,nan,nan,0.9,0.8144329896907216,0.3076923076923077,97,0.022245579297839595,1.1860880851745605
exp1,高维成对相关稀疏回归,gaussian,2,0.5,1.7479173443696756,nan,nan,1.0,0.7701149425287356,0.37383177570093457,87,0.006782436602796654,1.3296229839324951
exp1,高维成对相关稀疏回归,gaussian,2,1.0,3.1025488425996626,nan,nan,0.9,0.775,0.36,80,0.01255988144819781,1.0652835369110107
exp1,高维成对相关稀疏回归,gaussian,2,2.5,12.694711145108704,nan,nan,0.9,0.8317757009345794,0.28346456692913385,107,0.02842471595843001,1.3032100200653076
exp1,高维成对相关稀疏回归,gaussian,3,0.5,4.56013641363099,nan,nan,1.0,0.8412698412698413,0.273972602739726,126,0.017596391701563383,1.3668248653411865
exp1,高维成对相关稀疏回归,gaussian,3,1.0,5.198271610036983,nan,nan,1.0,0.7916666666666666,0.3448275862068966,96,0.014589104260675242,1.2715210914611816
exp1,高维成对相关稀疏回归,gaussian,3,2.5,11.9285263493397,nan,nan,0.95,0.75,0.3958333333333333,76,0.016935560285545284,1.2788538932800293
