sigma,snr,model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std
0.5,2.0,AFL-CV-EN (ElasticNet),0.9895,0.0235,5.7293,1.0556,0.98,0.0447,0.0,0.0,1.0,0.0,0.98,0.0447,0.9247,0.0166
0.5,2.0,AdaptiveLassoCV (fixed),0.9539,0.0429,0.9106,0.5745,1.0,0.0,0.0855,0.0794,0.9145,0.0794,1.0,0.0,0.9872,0.0097
2.0,0.5,AFL-CV-EN (ElasticNet),0.8377,0.0806,11.0395,1.5811,0.77,0.0758,0.0771,0.1085,0.9229,0.1085,0.77,0.0758,0.8615,0.0324
2.0,0.5,AdaptiveLassoCV (fixed),0.7548,0.0842,6.3838,1.4149,0.91,0.1084,0.3392,0.1204,0.6608,0.1204,0.91,0.1084,0.9192,0.027
10.0,0.1,AFL-CV-EN (ElasticNet),0.3249,0.0914,123.2627,18.6952,0.35,0.0612,0.6772,0.1435,0.3228,0.1435,0.35,0.0612,0.3162,0.1219
10.0,0.1,AdaptiveLassoCV (fixed),0.2859,0.1017,127.4323,19.8022,0.23,0.0908,0.6,0.1392,0.4,0.1392,0.23,0.0908,0.2969,0.0993
