model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std
AFL-CV-EN (ElasticNet),0.7174,0.3017,46.6772,56.9919,0.7,0.2771,0.2514,0.3277,0.7486,0.3277,0.7,0.2771,0.7008,0.2908,0.9589,0.014,20.5333,7.0088
AdaptiveLassoCV (fixed),0.6649,0.2992,44.9089,61.3704,0.7133,0.3637,0.3416,0.2424,0.6584,0.2424,0.7133,0.3637,0.7344,0.3262,0.9581,0.0178,20.9333,8.8839
