sigma,snr,repeat,lambda_ridge,lambda_,gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0.1,10.0,0,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.013866186141967773
0.1,10.0,1,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.01276087760925293
0.1,10.0,2,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012121438980102539
0.1,10.0,3,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.01215505599975586
0.1,10.0,4,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012235879898071289
0.1,10.0,5,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012233495712280273
0.1,10.0,6,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012246131896972656
0.1,10.0,7,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012190580368041992
0.1,10.0,8,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012534379959106445
0.1,10.0,9,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.01240396499633789
0.1,10.0,10,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012240409851074219
0.1,10.0,11,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.012289285659790039
0.1,10.0,12,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.011359930038452148
0.1,10.0,13,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010128021240234375
0.1,10.0,14,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010333061218261719
0.1,10.0,15,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009996652603149414
0.1,10.0,16,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010051965713500977
0.1,10.0,17,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010174036026000977
0.1,10.0,18,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010051727294921875
0.1,10.0,19,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009931325912475586
0.1,10.0,20,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.01011967658996582
0.1,10.0,21,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.01007986068725586
0.1,10.0,22,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009995698928833008
0.1,10.0,23,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010122537612915039
0.1,10.0,24,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010136127471923828
0.1,10.0,25,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.01004934310913086
0.1,10.0,26,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.01001286506652832
0.1,10.0,27,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010130167007446289
0.1,10.0,28,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.01071476936340332
0.1,10.0,29,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010014533996582031
0.1,10.0,30,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.01017618179321289
0.1,10.0,31,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010049104690551758
0.1,10.0,32,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010113954544067383
0.1,10.0,33,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010080099105834961
0.1,10.0,34,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010075092315673828
0.1,10.0,35,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.01035308837890625
0.1,10.0,36,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010066986083984375
0.1,10.0,37,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009861469268798828
0.1,10.0,38,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010103940963745117
0.1,10.0,39,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010194063186645508
0.1,10.0,40,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010007858276367188
0.1,10.0,41,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010036945343017578
0.1,10.0,42,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.00999760627746582
0.1,10.0,43,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.01027369499206543
0.1,10.0,44,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010011672973632812
0.1,10.0,45,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009985923767089844
0.1,10.0,46,1.0,1.0,0.5,0.655426930075004,0.9932438310717682,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010191202163696289
