sigma,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std,snr
0.1,1.0,0.0,0.6554,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9932,0.0,10.0
0.3,0.9756,0.0,0.8422,0.0,1.0,0.0,0.0476,0.0,0.9524,0.0,1.0,0.0,0.9913,0.0,3.33
0.5,0.9756,0.0,1.2145,0.0,1.0,0.0,0.0476,0.0,0.9524,0.0,1.0,0.0,0.9875,0.0,2.0
0.7,0.9524,0.0,1.5851,0.0,1.0,0.0,0.0909,0.0,0.9091,0.0,1.0,0.0,0.9838,0.0,1.43
1.0,0.9302,0.0,2.4416,0.0,1.0,0.0,0.1304,0.0,0.8696,0.0,1.0,0.0,0.9751,0.0,1.0
1.5,0.8636,0.0,4.2846,0.0,0.95,0.0,0.2083,0.0,0.7917,0.0,0.95,0.0,0.9569,0.0,0.67
2.0,0.8095,0.0,6.6838,0.0,0.85,0.0,0.2273,0.0,0.7727,0.0,0.85,0.0,0.9339,0.0,0.5
3.0,0.7442,0.0,12.0734,0.0,0.8,0.0,0.3043,0.0,0.6957,0.0,0.8,0.0,0.8858,0.0,0.33
