model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std
AFLCV_1SE,0.0,0.0,1.3783,0.3404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4339,0.3918,1.0,0.0,0.0,0.0
AdaptiveLassoCV_1SE,0.0,0.0,0.9932,0.0623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.0149,1.0,0.0,0.0,0.0
ElasticNetCV_1SE,0.0,0.0,0.9932,0.0623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,0.0149,1.0,0.0,0.0,0.0
LassoCV_1SE,0.0016,0.0037,1.0044,0.0568,0.002,0.0045,0.3186,0.2275,0.0014,0.0031,0.002,0.0045,-0.0362,0.0114,0.9921,0.0048,7.92,4.7762
RelaxedLassoCV_1SE,0.0,0.0,1.014,0.0634,0.0,0.0,0.56,0.2966,0.0,0.0,0.0,0.0,-0.0449,0.0306,0.9994,0.0003,0.56,0.2966
UniLassoCV_1SE,0.0015,0.0033,1.4041,0.338,0.002,0.0045,0.7588,0.1652,0.0012,0.0026,0.002,0.0045,-0.4603,0.3913,0.9864,0.0092,13.6,9.225
