sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time,best_gamma,best_alpha,best_lambda_ridge,cv_score
0.5,2.0,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.27911508685201125,0.9987350757568452,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,11.584319114685059,1.0,0.01905907636755612,10.0,-0.39174221377200713
0.5,2.0,0,AdaptiveLassoCV,adaptive_lasso_cv,True,220.59997088850955,0.0002609519847439623,0.4,0.25,0.0,1.0,0.25,0.99,5,0,10.987410068511963,,,,
0.5,2.0,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.3752574175047622,0.9979650350185679,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,11.004751682281494,1.0,0.033766418710050705,5.0,-0.46542999950998754
0.5,2.0,1,AdaptiveLassoCV,adaptive_lasso_cv,True,185.22274222505987,-0.004435293242482041,0.4,0.25,0.0,1.0,0.25,0.99,5,0,11.186711311340332,,,,
0.5,2.0,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.5408306571266965,0.9974819300432435,1.0,1.0,0.0,1.0,1.0,0.96,20,0,9.1111421585083,1.0,0.025060770878476767,1.0,-0.7835636317661308
0.5,2.0,2,AdaptiveLassoCV,adaptive_lasso_cv,True,213.79473476355605,0.004586571735868961,0.4,0.25,0.0,1.0,0.25,0.99,5,0,11.216171026229858,,,,
0.5,2.0,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.6987358810579758,0.996520662286286,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,11.355927467346191,1.0,0.044301402066904166,5.0,-1.2285316671456754
0.5,2.0,3,AdaptiveLassoCV,adaptive_lasso_cv,True,182.6698371412478,0.09040014867819157,0.5714285714285715,0.4,0.0,1.0,0.4,0.984,8,0,11.964637041091919,,,,
0.5,2.0,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.8034523245913462,0.9967269228723213,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,8.4996817111969,0.5,0.06270214515102833,10.0,-0.4678307225988233
0.5,2.0,4,AdaptiveLassoCV,adaptive_lasso_cv,True,226.8656294643652,0.0758024090179682,0.5185185185185185,0.35,0.0,1.0,0.35,0.986,7,0,10.304611921310425,,,,
2.0,0.5,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,4.660301006806829,0.978298827113985,0.7142857142857143,1.0,0.4444444444444444,0.5555555555555556,1.0,0.928,36,0,18.62281346321106,0.7,0.12818427251767564,50.0,-6.107053737182125
2.0,0.5,0,AdaptiveLassoCV,adaptive_lasso_cv,True,212.77384591189553,0.009196614336256181,0.33333333333333337,0.2,0.0,1.0,0.2,0.992,4,0,23.310871601104736,,,,
2.0,0.5,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,5.68964089544819,0.9704916897070225,0.39215686274509803,1.0,0.7560975609756098,0.24390243902439024,1.0,0.836,82,0,19.0882670879364,0.5,0.06399718830734548,50.0,-6.387689716393737
