idx,params,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0,"{'lambda_': 0.001, 'gamma': 0.1, 'group_threshold': 0.5}",1220.0098990652607,-97.47929033027623,0.1950228567479241,1.0,0.8919379969911884,0.10806200300881152,1.0,0.07333333333333336,46.333333333333336,1.0,0.9705293973286947
1,"{'lambda_': 0.001, 'gamma': 0.1, 'group_threshold': 0.7}",976.9997772603975,-78.41544780225348,0.196279769769543,1.0,0.8911671058410189,0.10883289415898112,1.0,0.08,46.0,1.0,0.011485099792480469
2,"{'lambda_': 0.001, 'gamma': 0.1, 'group_threshold': 0.9}",877.5987369662163,-69.76654575598204,0.19758695931202666,1.0,0.8903619528619529,0.10963804713804715,1.0,0.08666666666666667,45.666666666666664,1.0,0.01063068707784017
3,"{'lambda_': 0.001, 'gamma': 0.3, 'group_threshold': 0.5}",1215.2870995735932,-97.11957492498806,0.1950228567479241,1.0,0.8919379969911884,0.10806200300881152,1.0,0.07333333333333336,46.333333333333336,1.0,0.02060556411743164
4,"{'lambda_': 0.001, 'gamma': 0.3, 'group_threshold': 0.7}",974.8962748926224,-78.24861992173858,0.19748925211110083,1.0,0.8904283351554397,0.10957166484456031,1.0,0.08666666666666667,45.666666666666664,1.0,0.011688788731892904
5,"{'lambda_': 0.001, 'gamma': 0.3, 'group_threshold': 0.9}",876.1062114666975,-69.65287908052544,0.19879644165358448,1.0,0.8896231821763737,0.11037681782362634,1.0,0.09333333333333334,45.333333333333336,1.0,0.010870536168416342
6,"{'lambda_': 0.001, 'gamma': 0.5, 'group_threshold': 0.5}",1210.6852445987672,-96.7679440997424,0.1950228567479241,1.0,0.8919379969911884,0.10806200300881152,1.0,0.07333333333333336,46.333333333333336,1.0,0.020711580912272137
7,"{'lambda_': 0.001, 'gamma': 0.5, 'group_threshold': 0.7}",972.984895703486,-78.09559010440377,0.19748925211110083,1.0,0.8904283351554397,0.10957166484456031,1.0,0.08666666666666667,45.666666666666664,1.0,0.011672894159952799
8,"{'lambda_': 0.001, 'gamma': 0.5, 'group_threshold': 0.9}",874.8016033452797,-69.5526445208024,0.19879644165358448,1.0,0.8896231821763737,0.11037681782362634,1.0,0.09333333333333334,45.333333333333336,1.0,0.010880072911580404
9,"{'lambda_': 0.01, 'gamma': 0.1, 'group_threshold': 0.5}",353.1151787175616,-28.610288335792664,0.258705108059484,1.0,0.8511873942908426,0.14881260570915744,1.0,0.32,34.0,1.0,0.010716915130615234
10,"{'lambda_': 0.01, 'gamma': 0.1, 'group_threshold': 0.7}",433.5187934005325,-35.83983360076716,0.2878387725586367,1.0,0.8316289445321704,0.16837105546782968,1.0,0.39999999999999997,30.0,1.0,0.006982088088989258
11,"{'lambda_': 0.01, 'gamma': 0.1, 'group_threshold': 0.9}",433.73815749533395,-35.858920509342674,0.2902095644031128,1.0,0.8300506617038875,0.16994933829611247,1.0,0.4066666666666667,29.666666666666668,1.0,0.006653149922688802
12,"{'lambda_': 0.01, 'gamma': 0.3, 'group_threshold': 0.5}",344.6900601995471,-27.929689005586535,0.2616759933833105,1.0,0.8491348491348493,0.15086515086515087,1.0,0.32666666666666666,33.666666666666664,1.0,0.010594526926676432
13,"{'lambda_': 0.01, 'gamma': 0.3, 'group_threshold': 0.7}",427.8475505412452,-35.37507965216646,0.2855895597831082,1.0,0.8331143871940836,0.1668856128059164,1.0,0.3933333333333333,30.333333333333332,1.0,0.006937106450398763
14,"{'lambda_': 0.01, 'gamma': 0.3, 'group_threshold': 0.9}",428.98940558679374,-35.474432661056134,0.2927120669056153,1.0,0.8283705541770058,0.17162944582299422,1.0,0.41333333333333333,29.333333333333332,1.0,0.006619453430175781
15,"{'lambda_': 0.01, 'gamma': 0.5, 'group_threshold': 0.5}",336.92040556042133,-27.30050952105981,0.2616759933833105,1.0,0.8491348491348493,0.15086515086515087,1.0,0.32666666666666666,33.666666666666664,1.0,0.010535796483357748
