model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std
AFL-CV-EN (ElasticNet),0.6726,0.3158,42.6431,58.4019,0.75,0.3218,0.3491,0.3164,0.6509,0.3164,0.75,0.3218,0.7481,0.3178,0.9449,0.0383,27.5333,19.1642
AdaptiveLassoCV (fixed),0.6649,0.2992,44.9089,61.3704,0.7133,0.3637,0.3416,0.2424,0.6584,0.2424,0.7133,0.3637,0.7344,0.3262,0.9581,0.0178,20.9333,8.8839
