mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,repeat,method,sigma,snr,train_time,best_gamma,best_alpha,best_lambda_ridge
0.27911508685201086,0.9987350757568452,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,fixed_ridge,0.5,869.9872112805119,5.120873928070068,1.0,0.01905907636755612,10.0
0.2751031525955664,0.9987532574788014,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,ridgecv,0.5,869.9872112805119,4.760615110397339,1.0,0.013873013718839087,10.0
0.31325056755522634,0.9985803768561865,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,adaptive_lasso,0.5,869.9872112805119,120.99498510360718,2.0,0.003641938934913397,
0.36039696361723234,0.9980456210426109,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,1,fixed_ridge,0.5,800.0778552527277,4.394244432449341,1.0,0.02457842032670683,10.0
0.36039696361723284,0.9980456210426109,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,1,ridgecv,0.5,800.0778552527277,6.093947172164917,1.0,0.02457842032670683,10.0
0.5129518529890263,0.9972183386408875,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,1,adaptive_lasso,0.5,800.0778552527277,122.08583331108093,1.0,0.026960204169459236,
0.552155508158037,0.997429202323816,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,2,fixed_ridge,0.5,760.179629357029,3.959287166595459,0.7,0.03442908337602967,10.0
0.5696466050871847,0.9973477649919865,1.0,1.0,0.0,1.0,1.0,0.96,20,2,ridgecv,0.5,760.179629357029,7.54234766960144,1.0,0.03442908337602967,0.1
0.6402740165290424,0.9970189286722777,1.0,1.0,0.0,1.0,1.0,0.96,20,2,adaptive_lasso,0.5,760.179629357029,111.20339226722717,2.0,0.003779151336043374,
0.6995779823464235,0.9965164690641385,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,3,fixed_ridge,0.5,725.1917722318894,4.047022342681885,1.0,0.044301402066904166,10.0
0.7532574017806687,0.9962491737476235,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,3,ridgecv,0.5,725.1917722318894,10.148296594619751,1.0,0.060862320350504914,10.0
1.2975037660017554,0.9935391126903338,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,3,adaptive_lasso,0.5,725.1917722318894,113.88366103172302,1.0,0.021718118914922643,
0.7102254681880567,0.9971067073125919,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,4,fixed_ridge,0.5,716.1089593620308,3.510131597518921,1.0,0.024181837344021205,10.0
0.7102254681880569,0.9971067073125919,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,4,ridgecv,0.5,716.1089593620308,5.079845666885376,1.0,0.024181837344021205,10.0
0.7281842317252925,0.9970335475041303,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,4,adaptive_lasso,0.5,716.1089593620308,106.87126278877258,2.0,0.004960074985516566,
1.0733027934274608,0.9950824613719887,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0,fixed_ridge,1.0,217.49680282012798,5.955228805541992,1.0,0.03597599547911681,10.0
1.07330279342746,0.9950824613719887,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0,ridgecv,1.0,217.49680282012798,6.030377626419067,1.0,0.03597599547911677,10.0
1.125168274574338,0.99484482991462,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,adaptive_lasso,1.0,217.49680282012798,144.12586903572083,1.0,0.04069879690617515,
1.1822587681365075,0.9936693896692517,0.7843137254901961,1.0,0.3548387096774194,0.6451612903225806,1.0,0.938,31,1,fixed_ridge,1.0,200.01946381318191,6.087903022766113,1.0,0.04645382567821255,10.0
1.2071044267758673,0.9935363492660035,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,1,ridgecv,1.0,200.01946381318191,7.975269556045532,1.0,0.06381937112654136,10.0
1.254317881099788,0.9932835366079384,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,1,adaptive_lasso,1.0,200.01946381318191,139.14483165740967,2.0,0.012783083797889555,
1.3969738601837054,0.9934827589484106,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,fixed_ridge,1.0,190.04490733925724,5.670565605163574,1.0,0.04734387916829447,10.0
1.3969738601837058,0.9934827589484106,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,ridgecv,1.0,190.04490733925724,7.837170600891113,1.0,0.04734387916829447,10.0
1.3445892723412054,0.9937271464749695,1.0,1.0,0.0,1.0,1.0,0.96,20,2,adaptive_lasso,1.0,190.04490733925724,134.81828832626343,2.0,0.008720196859692124,
1.8624069649993253,0.9906810006093917,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,3,fixed_ridge,1.0,181.29794305797236,5.881376266479492,1.0,0.08404675363867485,10.0
1.874802552448224,0.9906189763182172,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,3,ridgecv,1.0,181.29794305797236,11.054698705673218,1.0,0.08404675363867485,100.0
2.445906878345802,0.9877613190150427,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,3,adaptive_lasso,1.0,181.29794305797236,133.746928691864,1.0,0.0458214647947603,
1.7446167742787746,0.9929487924959678,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,4,fixed_ridge,1.0,179.0272398405077,5.176591396331787,1.0,0.045297186133280806,10.0
1.7238764952821408,0.9930326183613687,0.851063829787234,1.0,0.25925925925925924,0.7407407407407407,1.0,0.946,27,4,ridgecv,1.0,179.0272398405077,7.074386119842529,1.0,0.04514247591276255,100.0
1.7356059883252501,0.9929852113373256,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,4,adaptive_lasso,1.0,179.0272398405077,123.81504845619202,2.0,0.010408507517492515,
4.784197339432836,0.9777218910469084,0.6557377049180327,1.0,0.5121951219512195,0.4878048780487805,1.0,0.918,41,0,fixed_ridge,2.0,54.374200705031996,6.917578935623169,0.5,0.12818427251767564,10.0
4.542191763356205,0.9788488150027104,0.625,1.0,0.5454545454545454,0.45454545454545453,1.0,0.912,44,0,ridgecv,2.0,54.374200705031996,7.545607805252075,0.7,0.09330474031807183,100.0
4.921620122969875,0.9770819676643503,0.7272727272727273,1.0,0.42857142857142855,0.5714285714285714,1.0,0.9299999999999999,35,0,adaptive_lasso,2.0,54.374200705031996,166.02907991409302,1.0,0.07012940953707134,
5.986443489141284,0.9689523758572745,0.33613445378151263,1.0,0.797979797979798,0.20202020202020202,1.0,0.802,99,1,fixed_ridge,2.0,50.00486595329548,6.978575706481934,0.3,0.06399718830734548,10.0
