sigma,snr,model,f1_mean,f1_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,mse_mean,mse_std,r2_mean,r2_std
0.5,2.0,AdaptiveLassoCV (fixed),0.2069,0.1485,0.2625,0.2982,0.2733,0.3508,0.6767,0.3799,0.2625,0.2982,0.958,0.0786,21.0,39.275,2.1678,0.8121,0.2969,0.204
0.5,2.0,LassoCV,0.2237,0.0723,0.735,0.3971,0.7335,0.2665,0.2665,0.2665,0.735,0.3971,0.8015,0.1209,99.25,60.4404,1.341,0.5556,0.5421,0.2231
0.5,2.0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.2042,0.0845,0.1625,0.1168,0.5269,0.2421,0.4731,0.2421,0.1625,0.1168,0.9808,0.0215,9.6,10.7674,2.1031,0.3246,0.2957,0.1395
0.5,2.0,RelaxedLassoCV,0.2093,0.0747,0.5675,0.3988,0.6654,0.3204,0.3346,0.3204,0.5675,0.3988,0.836,0.1518,82.0,75.8863,1.6668,0.6708,0.4242,0.2886
0.5,2.0,UnilassoCV,0.1236,0.0604,0.0675,0.0373,0.0667,0.1658,0.9333,0.1658,0.0675,0.0373,0.997,0.0017,1.5,0.8272,2.2015,0.349,0.2685,0.1149
1.0,1.0,AdaptiveLassoCV (fixed),0.2001,0.0492,0.6575,0.3058,0.7243,0.3385,0.2757,0.3385,0.6575,0.3058,0.7493,0.1541,125.35,77.0484,3.3121,0.8958,0.1201,0.2742
1.0,1.0,LassoCV,0.1346,0.0571,0.08,0.041,0.3175,0.3184,0.6825,0.3184,0.08,0.041,0.9936,0.0045,3.2,2.2618,3.1027,0.5021,0.1881,0.088
1.0,1.0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.1564,0.0565,0.1175,0.0907,0.4583,0.3314,0.5417,0.3314,0.1175,0.0907,0.9846,0.0209,7.7,10.4735,2.9959,0.3893,0.2078,0.1302
1.0,1.0,RelaxedLassoCV,0.1239,0.052,0.07,0.0377,0.15,0.2412,0.85,0.2412,0.07,0.0377,0.996,0.0035,2.0,1.7472,3.0777,0.3701,0.1849,0.1368
1.0,1.0,UnilassoCV,0.1155,0.0462,0.0625,0.0275,0.0917,0.191,0.9083,0.191,0.0625,0.0275,0.9971,0.0014,1.45,0.6863,3.0549,0.4349,0.1971,0.1034
2.0,0.5,AdaptiveLassoCV (fixed),0.1247,0.0392,0.5925,0.1249,0.9286,0.0281,0.0714,0.0281,0.5925,0.1249,0.6332,0.1167,183.4,58.3496,12.6615,3.3756,-0.8294,0.4823
2.0,0.5,LassoCV,0.0923,0.0688,0.0525,0.0444,0.1458,0.2702,0.6542,0.4243,0.0525,0.0444,0.9966,0.0037,1.7,1.8666,6.5664,1.1152,0.0576,0.0723
2.0,0.5,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.1186,0.0491,0.075,0.05,0.3373,0.3663,0.6627,0.3663,0.075,0.05,0.9919,0.0094,4.05,4.6845,6.3088,0.9336,0.0895,0.105
2.0,0.5,RelaxedLassoCV,0.0828,0.055,0.045,0.032,0.0792,0.2154,0.7208,0.426,0.045,0.032,0.9975,0.0028,1.25,1.4096,6.5492,1.0565,0.0556,0.1108
2.0,0.5,UnilassoCV,0.1139,0.0442,0.0625,0.0275,0.1583,0.2402,0.8417,0.2402,0.0625,0.0275,0.9966,0.0021,1.7,1.0311,6.359,1.0224,0.0862,0.0805
3.0,0.33,AdaptiveLassoCV (fixed),0.0928,0.0131,0.625,0.1058,0.9498,0.0071,0.0502,0.0071,0.625,0.1058,0.5015,0.0536,249.25,26.7776,30.396,5.3835,-1.5072,0.3389
3.0,0.33,LassoCV,0.0376,0.067,0.0225,0.0413,0.0792,0.2154,0.2208,0.3883,0.0225,0.0413,0.9979,0.0055,1.05,2.7621,12.1633,2.0495,0.0017,0.0467
3.0,0.33,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.1166,0.0546,0.075,0.05,0.4222,0.3586,0.5278,0.3663,0.075,0.05,0.9914,0.008,4.3,3.9881,11.8439,1.9744,0.0261,0.078
3.0,0.33,RelaxedLassoCV,0.0362,0.0537,0.02,0.0299,0.0595,0.202,0.2905,0.4459,0.02,0.0299,0.9985,0.0033,0.75,1.6504,12.2726,2.0598,-0.0086,0.0724
3.0,0.33,UnilassoCV,0.0952,0.0421,0.0525,0.0255,0.2508,0.306,0.6992,0.3424,0.0525,0.0255,0.9963,0.0028,1.85,1.387,11.8878,1.9933,0.0235,0.063
