sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,selection_f1,selection_accuracy,fold,train_time,best_alpha,best_lambda_ridge,sign_accuracy,best_gamma,cv_score
0.5,2.0,0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,1.9662262171839262,0.292483068281583,0.14814814814814817,0.1,0.7142857142857143,0.2857142857142857,0.1,0.986,7,0.14814814814814817,0.954,0,5.885873079299927,0.045317595075525595,100.0,0.95,,
0.5,2.0,1,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,2.3429182669161936,0.015538069977216296,0.21428571428571425,0.15,0.625,0.375,0.15,0.984,8,0.21428571428571425,0.956,0,6.118750333786011,0.03822762588603617,100.0,0.8,,
0.5,2.0,2,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,2.336381452599302,0.056676567439455705,0.24999999999999997,0.15,0.25,0.75,0.15,0.992,4,0.24999999999999997,0.964,0,5.651952743530273,0.048872692228571754,100.0,0.9,,
0.5,2.0,3,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,2.170476318096318,0.4075763333228152,0.18181818181818182,0.1,0.0,1.0,0.1,0.996,2,0.18181818181818182,0.964,0,5.2897279262542725,0.08410378522226664,100.0,0.9,,
0.5,2.0,4,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,1.7783601683610473,0.5400130962949659,0.45,0.45,0.55,0.45,0.45,0.96,20,0.45,0.956,0,7.026782035827637,0.038331086665708676,0.1,0.9,,
0.5,2.0,5,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,2.0993180760054813,0.33100424877694856,0.24615384615384614,0.4,0.8222222222222222,0.17777777777777778,0.4,0.91,45,0.24615384615384614,0.902,0,5.226107597351074,0.012080009562813505,10.0,0.95,,
0.5,2.0,6,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,1.8988307606988997,0.314165603960167,0.2758620689655173,0.2,0.5555555555555556,0.4444444444444444,0.2,0.982,9,0.2758620689655173,0.958,0,6.749460220336914,0.04655875557709052,100.0,0.85,,
0.5,2.0,7,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,2.0915122036807987,0.29512604686820076,0.16666666666666669,0.1,0.5,0.5,0.1,0.992,4,0.16666666666666669,0.96,0,5.994800806045532,0.04349967706971187,100.0,0.9,,
0.5,2.0,8,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,2.2160420957640925,0.37162807350169047,0.21428571428571425,0.15,0.625,0.375,0.15,0.984,8,0.21428571428571425,0.956,0,5.6422343254089355,0.051617076032249486,100.0,0.9,,
0.5,2.0,9,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,2.1338934749068033,0.41229689094840083,0.16000000000000003,0.1,0.6,0.4,0.1,0.99,5,0.16000000000000003,0.958,0,5.004131317138672,0.05477187263406905,100.0,0.85,,
0.5,2.0,10,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,2.07789108443464,0.3485088693912435,0.09523809523809523,0.05,0.0,1.0,0.05,0.998,1,0.09523809523809523,0.962,0,6.391103267669678,0.07914466335808173,100.0,0.95,,
0.5,2.0,11,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,3.048367382521432,0.27706015207898516,0.19354838709677416,0.15,0.7272727272727273,0.2727272727272727,0.15,0.978,11,0.19354838709677416,0.95,0,6.262409210205078,0.04675223014325228,100.0,0.95,,
0.5,2.0,12,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,2.5840156070998046,0.06884027515141844,0.23076923076923075,0.15,0.5,0.5,0.15,0.988,6,0.23076923076923075,0.96,0,5.517350673675537,0.052931284022036874,100.0,0.9,,
0.5,2.0,13,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,1.7863209848824162,0.4303327726332624,0.1739130434782609,0.1,0.3333333333333333,0.6666666666666666,0.1,0.994,3,0.1739130434782609,0.962,0,5.357179641723633,0.06942612207015907,100.0,0.9,,
0.5,2.0,14,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,1.724720863539413,0.41339255165276956,0.32,0.4,0.7333333333333333,0.26666666666666666,0.4,0.94,30,0.32,0.932,0,6.7490315437316895,0.023407732429830144,100.0,0.8,,
0.5,2.0,15,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,2.2999021970314484,0.35235248642660155,0.18181818181818185,0.15,0.7692307692307693,0.23076923076923078,0.15,0.974,13,0.18181818181818185,0.946,0,6.365572452545166,0.04144805516266296,100.0,0.95,,
0.5,2.0,16,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,1.7493006043096564,0.0762201729795301,0.08333333333333334,0.05,0.75,0.25,0.05,0.992,4,0.08333333333333334,0.956,0,6.8238537311553955,0.06354858324310497,100.0,0.9,,
0.5,2.0,17,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,2.116602770064059,0.33569917639313773,0.24,0.15,0.4,0.6,0.15,0.99,5,0.24,0.962,0,6.579562664031982,0.05762782878477405,100.0,0.9,,
0.5,2.0,18,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,1.7375190891684287,0.31215126673514193,0.1739130434782609,0.1,0.3333333333333333,0.6666666666666666,0.1,0.994,3,0.1739130434782609,0.962,0,7.729292869567871,0.0653268505800345,100.0,0.9,,
0.5,2.0,19,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,1.904334781298234,0.26298460002527335,0.08333333333333334,0.05,0.75,0.25,0.05,0.992,4,0.08333333333333334,0.956,0,5.98013973236084,0.04697211441320649,100.0,0.9,,
1.0,1.0,0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,2.78343860093553,0.18924660760714684,0.15384615384615383,0.1,0.6666666666666666,0.3333333333333333,0.1,0.988,6,0.15384615384615383,0.956,0,8.08174204826355,0.075541284310658,100.0,0.9,,
