experiment_id,experiment_name,exp_dir,lambda_ridge,gamma,group_threshold,group_truncation_threshold,lambda_,mse_mean,mae_mean,r2_mean,tpr_mean,fdr_mean,precision_mean,f1_mean,coef_sse_mean,n_nonzero_mean,sparsity_mean
1,高维成对相关稀疏回归,20260324_190341,50.0,0.3,0.7,0.7,0.1,290.2933870588445,15.874180480202869,-0.3509069567704757,1.0,0.0,1.0,1.0,0.2639105912367952,20.0,0.96
2,AR(1)相关稀疏回归,20260324_190806,5.0,0.1,0.9,0.3,0.1,26.19321732918036,4.930249970531255,0.6770079895953677,1.0,0.0461760461760461,0.9538239538239539,0.9763663220088626,0.2185228853053694,21.0,0.958
3,二分类偏移变量选择,20260324_191434,20.0,0.5,0.6,0.3,0.1,38.94758327621128,5.411536561294876,0.6962292378946376,1.0,0.0,1.0,1.0,0.2473217747109741,20.0,0.96
4,反符号孪生变量,20260324_192219,50.0,0.5,0.9,0.7,0.1,766.8981878881208,26.75384758997733,-2.8874868954338786,1.0,0.0461760461760461,0.9538239538239539,0.9763663220088626,0.3862018807292035,21.0,0.979
5,绝对隐身陷阱,20260324_192711,1.0,0.1,0.6,0.7,0.1,8.747761515629444,2.672533152200335,-7.515614910638014,0.0,1.0,0.0,0.0,102.50014727130709,29.33333333333333,0.9706666666666668
6,鸠占鹊巢陷阱,20260324_193205,50.0,0.5,0.9,0.0,0.1,5.043886754629321,1.9569866737469703,0.6978877846034601,1.0,0.0,1.0,1.0,0.1030140431621492,10.0,0.98
7,自回归符号雪崩,20260324_193359,1.0,1.0,0.7,0.0,0.1,2.0003189888097466,1.1305055879564272,0.4256042482172464,0.7333333333333334,0.4044788441692466,0.5955211558307534,0.657281166353437,20.953134938719234,26.0,0.948
