experiment_id,experiment_name,family,repeat,sigma,mse,accuracy,auc,tpr,fdr,f1,n_selected,est_error,time_seconds
exp1,高维成对相关稀疏回归,gaussian,1,0.5,43.11539408169421,nan,nan,1.0,0.9259259259259259,0.13793103448275862,270,0.022138597969724852,2.9702227115631104
exp1,高维成对相关稀疏回归,gaussian,1,1.0,5.2237087764355215,nan,nan,1.0,0.8529411764705882,0.2564102564102564,136,0.011296595740973914,1.3981037139892578
exp1,高维成对相关稀疏回归,gaussian,1,2.5,16.3362384895418,nan,nan,0.95,0.8503937007874016,0.2585034013605442,127,0.021401159380741965,1.3967628479003906
exp1,高维成对相关稀疏回归,gaussian,2,0.5,20.975600541736274,nan,nan,1.0,0.9061032863849765,0.17167381974248927,213,0.01522617974836402,1.5508806705474854
exp1,高维成对相关稀疏回归,gaussian,2,1.0,10.345964366698478,nan,nan,1.0,0.8863636363636364,0.20408163265306123,176,0.008860498861759152,1.4794998168945312
exp1,高维成对相关稀疏回归,gaussian,2,2.5,13.430827431985072,nan,nan,0.95,0.8118811881188119,0.3140495867768595,101,0.01981846579328682,1.290311336517334
exp1,高维成对相关稀疏回归,gaussian,3,0.5,4.9788613164797795,nan,nan,1.0,0.8581560283687943,0.2484472049689441,141,0.005567403069068344,1.423163652420044
exp1,高维成对相关稀疏回归,gaussian,3,1.0,14.408117715299078,nan,nan,1.0,0.9107142857142857,0.16393442622950818,224,0.012095038533733084,1.5577538013458252
exp1,高维成对相关稀疏回归,gaussian,3,2.5,16.19929340656429,nan,nan,0.95,0.8503937007874016,0.2585034013605442,127,0.03298362755721777,1.3662800788879395
