model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std
AFL-CV-EN (ElasticNet),0.681,0.3012,46.819,56.92,0.6267,0.2884,0.2351,0.3143,0.7649,0.3143,0.6267,0.2884,0.6992,0.2894,0.9652,0.0137,17.4,6.8744
AdaptiveLassoCV (fixed),0.6649,0.2992,44.9089,61.3704,0.7133,0.3637,0.3416,0.2424,0.6584,0.2424,0.7133,0.3637,0.7344,0.3262,0.9581,0.0178,20.9333,8.8839
