sigma,snr,model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std
0.5,2.0,AFL-CV-EN (ElasticNet),1.0,0.0,0.5162,0.2002,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.9976,0.0008
0.5,2.0,AdaptiveLassoCV (fixed),0.9765,0.0331,0.7479,0.477,1.0,0.0,0.0443,0.0622,0.9557,0.0622,1.0,0.0,0.9964,0.0024
2.0,0.5,AFL-CV-EN (ElasticNet),0.7909,0.143,5.4415,0.7013,0.99,0.0224,0.3212,0.1948,0.6788,0.1948,0.99,0.0224,0.9745,0.0044
2.0,0.5,AdaptiveLassoCV (fixed),0.7257,0.15,5.8217,0.9234,0.98,0.0447,0.4087,0.1814,0.5913,0.1814,0.98,0.0447,0.9726,0.0055
10.0,0.1,AFL-CV-EN (ElasticNet),0.1974,0.0888,115.6781,18.4565,0.26,0.0652,0.8255,0.1187,0.1745,0.1187,0.26,0.0652,0.614,0.0557
10.0,0.1,AdaptiveLassoCV (fixed),0.2011,0.1017,117.1442,19.3144,0.18,0.0908,0.7704,0.1181,0.2296,0.1181,0.18,0.0908,0.6075,0.0687
