sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time,best_gamma,best_alpha,best_lambda_ridge,cv_score
0.5,2.0,0,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,0.2783107426636009,0.9971413556872779,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.7782871723175049,1.0,0.006180745089179148,0.1,-0.7061434586303394
0.5,2.0,0,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.6964047848386379,0.9928469395091309,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,5.529273986816406,2.0,0.007880462815669913,,-0.31522705444964233
0.5,2.0,1,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,0.3533251368716428,0.9955353474554678,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.7950937747955322,1.0,0.00879223675149363,0.1,-0.5400936373809504
0.5,2.0,1,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.46623754043933047,0.9941085747826793,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,3.901681900024414,2.0,0.005298316906283712,,-0.3273318858465767
0.5,2.0,2,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,0.2967154581759086,0.9956005743715782,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.7706727981567383,0.3,0.044909727995423754,0.1,-1.726540397997032
0.5,2.0,2,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,1.7279275503838782,0.974379869535789,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,4.355264902114868,2.0,0.007880462815669913,,-0.3381685561197283
0.5,2.0,3,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,0.40057742354573544,0.9951254562879275,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,0.7139737606048584,0.3,0.024158736194676098,0.1,-0.4134877396564284
0.5,2.0,3,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,0.3936737214996367,0.9952094660084478,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,4.2318434715271,2.0,0.007880462815669913,,-0.3284931165135396
0.5,2.0,4,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,0.3360013949103319,0.9945066633697102,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.7469923496246338,1.0,0.006246528007685787,0.1,-1.1886035439471094
0.5,2.0,4,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,1.2435647933672243,0.9796687747877773,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,3.606529712677002,2.0,0.007880462815669913,,-0.2652144553554361
2.0,0.5,0,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,5.1745219080839195,0.9488144859804465,0.7906976744186046,0.85,0.2608695652173913,0.7391304347826086,0.85,0.954,23,0,1.1995556354522705,1.0,0.04807300572601976,0.1,-5.812380027477561
2.0,0.5,0,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,6.069509319305516,0.9399614186829944,0.7906976744186046,0.85,0.2608695652173913,0.7391304347826086,0.85,0.954,23,0,9.819695234298706,1.0,0.12689610031679233,,-5.609556283296897
2.0,0.5,1,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,5.027460278522596,0.9391824929888012,0.7692307692307693,1.0,0.375,0.625,1.0,0.9359999999999999,32,0,1.266646385192871,1.0,0.03080958248259214,0.1,-6.1743184677536185
2.0,0.5,1,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,5.191184228123789,0.9372019139486625,0.6551724137931034,0.95,0.5,0.5,0.95,0.924,38,0,8.769803524017334,2.0,0.02592943797404667,,-6.248869161326898
2.0,0.5,2,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,5.862066959017226,0.9185190415774062,0.6938775510204082,0.85,0.41379310344827586,0.5862068965517241,0.85,0.942,29,0,1.1163527965545654,0.3,0.16118023665485115,0.1,-7.114763303882869
2.0,0.5,2,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,8.745228695263565,0.8784439651241536,0.6521739130434783,0.75,0.4230769230769231,0.5769230769230769,0.75,0.948,26,0,11.460427522659302,2.0,0.03856620421163472,,-5.9925312509074224
2.0,0.5,3,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,5.931232539106202,0.9354279814736233,0.7017543859649124,1.0,0.4594594594594595,0.5405405405405406,1.0,0.926,37,0,1.157395362854004,0.3,0.11357740469808893,0.1,-5.776521642700902
2.0,0.5,3,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,6.7552214410883415,0.9264573963054454,0.8444444444444444,0.95,0.24,0.76,0.95,0.95,25,0,10.486352920532227,1.0,0.12689610031679233,,-6.042905723204214
2.0,0.5,4,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,5.014370375354687,0.9200726233946533,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,1.1285932064056396,1.0,0.04303940703756837,0.1,-5.426940104833657
2.0,0.5,4,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,6.075598206639858,0.9031570088337314,0.8163265306122449,1.0,0.3103448275862069,0.6896551724137931,1.0,0.942,29,0,9.034120082855225,2.0,0.02592943797404667,,-4.894389913591533
10.0,0.1,0,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,103.17338405428588,0.4454374227423673,0.3243243243243243,0.3,0.6470588235294118,0.35294117647058826,0.3,0.966,17,0,1.2477366924285889,0.3,0.9060877827048092,1.0,-123.88903529514273
10.0,0.1,0,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,105.91966423406112,0.43067601670409705,0.2916666666666667,0.35,0.75,0.25,0.35,0.944,28,0,51.84348392486572,0.5,1.3738237958832638,,-123.75502030142904
10.0,0.1,1,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,115.95595588289947,0.3207103252048291,0.25641025641025644,0.25,0.7368421052631579,0.2631578947368421,0.25,0.962,19,0,1.3567163944244385,0.3,1.0828299304534064,1.0,-132.260043788453
10.0,0.1,1,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,124.3851582225844,0.2713306269175789,0.23529411764705882,0.2,0.7142857142857143,0.2857142857142857,0.2,0.972,14,0,45.578566551208496,0.5,2.043359717856944,,-139.9757180121921
10.0,0.1,2,AFL-CV-EN (ElasticNet),adaptive_flipped_lasso_cv_en,True,110.7725932471816,0.3005566387049776,0.3636363636363637,0.3,0.5384615384615384,0.46153846153846156,0.3,0.974,13,0,1.2166314125061035,0.5,0.8223973978081787,1.0,-127.1750555220327
10.0,0.1,2,AdaptiveLassoCV (fixed),adaptive_lasso_cv,True,105.59300561109482,0.33326173371184975,0.1764705882352941,0.15,0.7857142857142857,0.21428571428571427,0.15,0.972,14,0,46.02543520927429,0.5,2.043359717856944,,-135.94817322418723
