experiment_id,experiment_name,family,repeat,sigma,mse,accuracy,auc,tpr,fdr,f1,n_selected,est_error,time_seconds
exp1,高维成对相关稀疏回归,gaussian,1,0.5,6.432972528662288,nan,nan,0.95,0.8782051282051282,0.2159090909090909,156,0.023932078040935074,2.6146607398986816
exp1,高维成对相关稀疏回归,gaussian,1,1.0,5.158457953551018,nan,nan,1.0,0.7872340425531915,0.3508771929824561,94,0.014429185748145487,1.2953910827636719
exp1,高维成对相关稀疏回归,gaussian,1,2.5,13.596147684291163,nan,nan,0.85,0.8131868131868132,0.3063063063063063,91,0.022984424723122662,1.2827568054199219
exp1,高维成对相关稀疏回归,gaussian,2,0.5,6.286377598804848,nan,nan,1.0,0.84,0.27586206896551724,125,0.021163133925163165,1.3527076244354248
exp1,高维成对相关稀疏回归,gaussian,2,1.0,7.412778840843218,nan,nan,1.0,0.7752808988764045,0.3669724770642202,89,0.018571391150042832,1.3027732372283936
exp1,高维成对相关稀疏回归,gaussian,2,2.5,11.999116949408087,nan,nan,0.9,0.7692307692307693,0.3673469387755102,78,0.018626475725833185,1.0726521015167236
exp1,高维成对相关稀疏回归,gaussian,3,0.5,3.819744505922265,nan,nan,1.0,0.7802197802197802,0.36036036036036034,91,0.014452139171920482,1.2870111465454102
exp1,高维成对相关稀疏回归,gaussian,3,1.0,4.735938740542748,nan,nan,1.0,0.7872340425531915,0.3508771929824561,94,0.017337339768200188,1.2962188720703125
exp1,高维成对相关稀疏回归,gaussian,3,2.5,13.595754596673126,nan,nan,0.9,0.788235294117647,0.34285714285714286,85,0.027343131276241252,1.302053689956665
