sigma,snr,model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std
0.5,2.0,AdaptiveFlippedLassoCV,0.9616,0.0471,0.3984,0.1324,1.0,0.0,0.0714,0.0858,0.9286,0.0858,1.0,0.0,0.9981,0.0006
0.5,2.0,AdaptiveLassoCV,0.4,0.0,206.5391,18.7715,0.25,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0001,0.0045
2.0,0.5,AdaptiveFlippedLassoCV,0.5334,0.1647,5.4138,0.6603,1.0,0.0,0.6242,0.1613,0.3758,0.1613,1.0,0.0,0.9738,0.004
2.0,0.5,AdaptiveLassoCV,0.3761,0.074,205.3376,11.4493,0.2333,0.0577,0.0,0.0,1.0,0.0,0.2333,0.0577,0.0099,0.0068
10.0,0.1,AdaptiveFlippedLassoCV,0.1846,0.0637,104.6078,13.2118,0.2833,0.0289,0.8561,0.0708,0.1439,0.0708,0.2833,0.0289,0.6233,0.01
10.0,0.1,AdaptiveLassoCV,0.029,0.0502,290.9923,26.4298,0.0167,0.0289,0.2222,0.3849,0.1111,0.1925,0.0167,0.0289,-0.0505,0.0324
