model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std
AdaptiveFlippedLassoCV,0.5599,0.3492,36.8067,51.3252,0.7611,0.3586,0.5172,0.3626,0.4828,0.3626,0.7611,0.3586,0.865,0.1817,0.9151,0.0464,42.4444,23.2224
AdaptiveLassoCV,0.2684,0.1853,234.2897,45.8728,0.1667,0.1173,0.0741,0.2222,0.7037,0.4547,0.1667,0.1173,-0.0135,0.0327,0.9929,0.0044,3.5556,2.1858
