repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,best_alpha,iteration,algo
14,56,56,15,0.3002104595845744,51,0.9875244618395304,15.767381191253662,51,"[74, 215, 243, 539, 623, 760, 858, 907, 946, 1064, 1122, 1127, 1130, 1278, 1280, 1302, 1414, 1424, 1441, 1587, 1597, 1693, 1714, 1761, 1809, 1825, 1826, 1850, 1854, 1858, 1868, 1874, 2026, 2241, 2483, 2556, 2563, 2814, 2873, 3104, 3225, 3229, 3377, 3378, 3513, 3514, 3668, 4002, 4046, 4074, 4086]",0.01,14,lasso_cv
15,57,56,15,0.22403913293419453,49,0.988013698630137,15.922242879867554,49,"[72, 74, 133, 418, 584, 623, 858, 941, 973, 1099, 1103, 1130, 1280, 1296, 1424, 1441, 1524, 1584, 1635, 1638, 1680, 1761, 1835, 2026, 2115, 2344, 2461, 2473, 2483, 2563, 2738, 2873, 2989, 3054, 3103, 3225, 3254, 3310, 3442, 3534, 3668, 3754, 3835, 3904, 3961, 4002, 4003, 4061, 4069]",0.01,15,lasso_cv
16,58,56,15,0.271887382672026,51,0.9875244618395304,16.83871555328369,51,"[11, 72, 143, 228, 280, 330, 418, 496, 607, 623, 707, 858, 973, 1006, 1081, 1094, 1100, 1130, 1209, 1293, 1363, 1424, 1463, 1523, 1584, 1588, 1635, 1638, 1639, 1663, 1761, 1848, 1874, 1985, 2115, 2185, 2241, 2264, 2344, 2461, 2473, 2563, 2814, 2873, 3104, 3205, 3225, 3513, 3781, 4003, 4017]",0.01,16,lasso_cv
17,59,56,15,0.3371708534131084,48,0.9882583170254403,11.68108320236206,48,"[72, 218, 243, 281, 496, 579, 584, 623, 809, 858, 889, 941, 1122, 1130, 1209, 1278, 1280, 1355, 1363, 1424, 1502, 1523, 1524, 1638, 1647, 1761, 1801, 1809, 1825, 1854, 1874, 1950, 2026, 2040, 2094, 2161, 2241, 2473, 2563, 2693, 3108, 3532, 3754, 3770, 3904, 3949, 4002, 4003]",0.01,17,lasso_cv
18,60,56,15,0.20515424864138648,58,0.985812133072407,16.889396905899048,58,"[64, 72, 132, 243, 248, 281, 287, 304, 314, 579, 584, 597, 623, 705, 785, 840, 1074, 1130, 1206, 1280, 1281, 1302, 1363, 1527, 1635, 1638, 1639, 1761, 1809, 1854, 1858, 1949, 2010, 2026, 2033, 2094, 2241, 2264, 2491, 2505, 2563, 2564, 2814, 2873, 3104, 3310, 3464, 3477, 3561, 3643, 3769, 3770, 3781, 3841, 3925, 3998, 4003, 4046]",0.001,18,lasso_cv
19,61,56,15,0.3659056158369443,49,0.988013698630137,17.132660150527954,49,"[33, 195, 243, 281, 555, 584, 653, 809, 858, 941, 1064, 1103, 1130, 1276, 1282, 1302, 1424, 1477, 1515, 1524, 1584, 1587, 1638, 1647, 1761, 1809, 1826, 2022, 2026, 2133, 2183, 2241, 2304, 2317, 2563, 2693, 2873, 2935, 3103, 3290, 3453, 3561, 3669, 3695, 3821, 3925, 3949, 4003, 4074]",0.01,19,lasso_cv
20,62,56,15,0.24216346082220974,46,0.988747553816047,16.94822072982788,46,"[58, 72, 124, 149, 243, 541, 623, 653, 858, 925, 973, 976, 1007, 1064, 1127, 1130, 1280, 1301, 1363, 1424, 1500, 1502, 1515, 1525, 1635, 1761, 1826, 1959, 2026, 2161, 2183, 2278, 2461, 2563, 2855, 2863, 2873, 3225, 3490, 3514, 3534, 3538, 3904, 4002, 4003, 4074]",0.01,20,lasso_cv
21,63,56,15,0.20398154923077677,21,0.9948630136986302,11.530309438705444,21,"[72, 623, 973, 1277, 1278, 1302, 1311, 1477, 1515, 1638, 1761, 1819, 1848, 1856, 1995, 2115, 2563, 3104, 3513, 4002, 4074]",0.1,21,lasso_cv
22,64,56,15,0.12389761958675652,50,0.9877690802348337,16.27002787590027,50,"[64, 72, 74, 281, 553, 584, 623, 858, 889, 941, 1130, 1278, 1280, 1282, 1363, 1424, 1435, 1441, 1523, 1584, 1635, 1638, 1639, 1761, 1801, 1826, 2026, 2115, 2116, 2212, 2302, 2304, 2344, 2461, 2473, 2563, 3076, 3103, 3104, 3205, 3234, 3415, 3478, 3841, 3904, 3961, 4002, 4003, 4017, 4069]",0.01,22,lasso_cv
23,65,56,15,0.23250592675031043,46,0.988747553816047,13.248456478118896,46,"[64, 72, 133, 539, 541, 567, 584, 623, 714, 858, 896, 941, 1122, 1124, 1130, 1206, 1278, 1282, 1363, 1441, 1591, 1635, 1761, 1801, 1826, 2026, 2094, 2241, 2264, 2278, 2563, 2935, 3103, 3104, 3152, 3190, 3225, 3310, 3538, 3631, 3904, 3949, 3972, 3997, 4002, 4003]",0.01,23,lasso_cv
