repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,best_alpha,best_gamma,cv_score,iteration,algo
15,57,56,15,0.24723038861148536,60,0.9853228962818004,5.7200281620025635,60,"[64, 72, 74, 133, 281, 418, 623, 809, 858, 889, 941, 1064, 1099, 1103, 1130, 1276, 1280, 1424, 1441, 1512, 1584, 1635, 1638, 1761, 1835, 1858, 1901, 2040, 2115, 2116, 2264, 2344, 2461, 2473, 2483, 2563, 2627, 2669, 2693, 2738, 2873, 2989, 3054, 3076, 3103, 3225, 3254, 3310, 3534, 3668, 3754, 3904, 3922, 3925, 3961, 3997, 4002, 4003, 4061, 4069]",9.999999999999999e-05,0.5,-52.1689566987808,15,adaptive_lasso_cv
16,58,56,15,0.30868191031756337,57,0.9860567514677103,5.610365152359009,57,"[11, 72, 188, 215, 280, 281, 330, 418, 496, 607, 623, 858, 973, 1006, 1081, 1130, 1209, 1276, 1293, 1302, 1307, 1363, 1424, 1463, 1523, 1584, 1588, 1614, 1635, 1638, 1639, 1663, 1761, 1848, 1854, 1868, 1985, 2026, 2115, 2241, 2264, 2344, 2461, 2473, 2563, 2814, 3104, 3166, 3205, 3225, 3322, 3415, 3513, 3609, 3781, 4003, 4017]",9.999999999999999e-05,0.5,-53.261239552786115,16,adaptive_lasso_cv
17,59,56,15,0.5234341430927795,59,0.9855675146771037,4.77477765083313,59,"[72, 218, 243, 281, 496, 579, 584, 623, 809, 889, 941, 1099, 1103, 1130, 1132, 1209, 1276, 1280, 1293, 1355, 1363, 1424, 1523, 1524, 1584, 1635, 1638, 1647, 1761, 1801, 1809, 1825, 1854, 1874, 1950, 2026, 2040, 2094, 2241, 2257, 2304, 2473, 2549, 2563, 2627, 2693, 3108, 3225, 3442, 3477, 3478, 3532, 3754, 3770, 3786, 3904, 3949, 4002, 4046]",9.999999999999999e-05,0.5,-52.64758934440581,17,adaptive_lasso_cv
18,60,56,15,0.18276167142661598,57,0.9860567514677103,5.663883447647095,57,"[46, 64, 72, 243, 281, 287, 314, 579, 584, 623, 705, 785, 824, 1074, 1130, 1280, 1281, 1293, 1302, 1363, 1424, 1527, 1635, 1638, 1639, 1761, 1801, 1809, 1854, 1858, 1949, 2026, 2033, 2094, 2241, 2264, 2491, 2505, 2563, 2564, 2814, 2873, 2935, 3104, 3151, 3234, 3310, 3464, 3561, 3643, 3769, 3770, 3841, 3846, 3998, 4003, 4046]",9.999999999999999e-05,0.5,-52.116478624404145,18,adaptive_lasso_cv
19,61,56,15,0.36998180279418064,62,0.9848336594911937,4.658539772033691,62,"[33, 67, 195, 243, 281, 555, 653, 809, 858, 941, 947, 1064, 1103, 1130, 1276, 1282, 1302, 1363, 1424, 1477, 1515, 1524, 1584, 1587, 1638, 1647, 1695, 1761, 1809, 1826, 1835, 2022, 2026, 2133, 2183, 2241, 2304, 2317, 2451, 2473, 2563, 2669, 2693, 2713, 2825, 2873, 2935, 3032, 3103, 3365, 3415, 3453, 3561, 3668, 3695, 3715, 3821, 3949, 3961, 4003, 4017, 4043]",9.999999999999999e-05,0.5,-51.94767605701662,19,adaptive_lasso_cv
20,62,56,15,0.30721831413053563,56,0.9863013698630136,6.224106073379517,56,"[58, 72, 149, 243, 277, 363, 495, 541, 607, 623, 653, 858, 925, 946, 971, 976, 1007, 1064, 1127, 1130, 1280, 1363, 1424, 1500, 1502, 1515, 1523, 1635, 1647, 1761, 1826, 1901, 1959, 2026, 2116, 2161, 2183, 2278, 2461, 2563, 2693, 2855, 2873, 2935, 3225, 3310, 3332, 3490, 3514, 3534, 3538, 3807, 3904, 4002, 4057, 4074]",9.999999999999999e-05,0.5,-52.18840205914411,20,adaptive_lasso_cv
21,63,56,15,0.20983457377374654,56,0.9863013698630136,4.568092346191406,56,"[11, 32, 63, 64, 72, 135, 189, 329, 363, 584, 597, 623, 653, 858, 1064, 1122, 1127, 1130, 1209, 1278, 1280, 1281, 1302, 1424, 1523, 1527, 1584, 1587, 1593, 1597, 1635, 1714, 1761, 1850, 1858, 2026, 2033, 2241, 2278, 2461, 2502, 2563, 3103, 3109, 3225, 3310, 3378, 3513, 3666, 3904, 3972, 4002, 4046, 4047, 4069, 4074]",9.999999999999999e-05,0.5,-52.644606913695874,21,adaptive_lasso_cv
22,64,56,15,0.1665207611505952,56,0.9863013698630136,6.837844610214233,56,"[64, 72, 74, 281, 418, 553, 555, 584, 623, 889, 941, 971, 1064, 1130, 1278, 1280, 1282, 1424, 1435, 1441, 1524, 1584, 1635, 1761, 1801, 1826, 2026, 2087, 2115, 2116, 2212, 2241, 2302, 2304, 2344, 2461, 2473, 2563, 2825, 2873, 2935, 3103, 3104, 3254, 3415, 3478, 3545, 3574, 3695, 3715, 3841, 3935, 3961, 4002, 4003, 4069]",9.999999999999999e-05,0.5,-52.207692488782484,22,adaptive_lasso_cv
23,65,56,15,0.3374973335511353,59,0.9855675146771037,6.174384355545044,59,"[64, 72, 281, 539, 541, 553, 567, 584, 623, 858, 896, 908, 941, 1064, 1099, 1122, 1130, 1206, 1238, 1363, 1435, 1591, 1602, 1635, 1761, 1801, 1809, 1821, 1826, 1858, 1935, 2026, 2170, 2171, 2241, 2264, 2278, 2473, 2563, 2930, 2935, 3103, 3104, 3225, 3229, 3310, 3378, 3532, 3538, 3631, 3666, 3732, 3904, 3949, 3972, 3997, 4002, 4003, 4060]",9.999999999999999e-05,0.5,-50.32309665640278,23,adaptive_lasso_cv
24,66,56,15,0.2336034308485458,54,0.9867906066536204,5.143201589584351,54,"[11, 72, 281, 313, 596, 623, 686, 790, 826, 889, 896, 1122, 1130, 1139, 1280, 1301, 1302, 1355, 1424, 1523, 1584, 1635, 1761, 1826, 2026, 2094, 2170, 2241, 2344, 2563, 2771, 2873, 2922, 2926, 2928, 2935, 3032, 3054, 3076, 3103, 3104, 3310, 3312, 3464, 3513, 3841, 3964, 3972, 3997, 3998, 4002, 4003, 4022, 4069]",9.999999999999999e-05,0.5,-52.24399280862747,24,adaptive_lasso_cv
