repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,iteration,algo
23,65,56,15,0.40391913665935014,15,0.9963307240704501,37.67885446548462,15,"[623, 1277, 1296, 1311, 1489, 1515, 1639, 1826, 1995, 2027, 2563, 3513, 4002, 4003, 4005]",23,relaxed_lasso_1se
24,66,56,15,0.17604973948413843,31,0.9924168297455969,33.04872226715088,31,"[72, 314, 623, 767, 826, 945, 1122, 1130, 1277, 1282, 1302, 1311, 1424, 1523, 1635, 1761, 1826, 1848, 1856, 2563, 2873, 2926, 3076, 3104, 3225, 3310, 3513, 4002, 4003, 4044, 4074]",24,relaxed_lasso_1se
25,67,56,15,0.268003342410373,24,0.9941291585127201,27.307629585266113,24,"[72, 623, 826, 973, 985, 1130, 1302, 1311, 1363, 1515, 1638, 1761, 1819, 1959, 2027, 2183, 2563, 2873, 3225, 3287, 3513, 4002, 4003, 4074]",25,relaxed_lasso_1se
26,68,56,15,0.1381813099132243,29,0.9929060665362035,37.88788819313049,29,"[72, 314, 584, 623, 858, 1130, 1302, 1311, 1363, 1523, 1638, 1639, 1761, 1848, 1858, 1874, 2026, 2241, 2473, 2563, 3104, 3225, 3310, 3513, 3538, 3807, 4002, 4003, 4074]",26,relaxed_lasso_1se
27,69,56,15,0.1391242015397765,21,0.9948630136986302,33.672908782958984,21,"[72, 314, 414, 623, 651, 826, 973, 1122, 1130, 1278, 1311, 1639, 1761, 1826, 2026, 2027, 2563, 3513, 4002, 4003, 4074]",27,relaxed_lasso_1se
28,70,56,15,0.3748016522588705,17,0.9958414872798435,45.040404081344604,17,"[555, 651, 824, 976, 1296, 1302, 1311, 1515, 1638, 1761, 1856, 2873, 3225, 3310, 3738, 3807, 4003]",28,relaxed_lasso_1se
29,71,56,15,0.2794045185130393,21,0.9948630136986302,38.79468607902527,21,"[72, 287, 314, 623, 826, 1122, 1130, 1282, 1296, 1515, 1523, 1639, 1826, 2026, 2094, 2563, 3310, 3513, 4002, 4003, 4074]",29,relaxed_lasso_1se
30,72,56,15,0.18862576967040506,28,0.9931506849315068,25.566591501235962,28,"[72, 149, 243, 314, 414, 496, 623, 826, 1085, 1207, 1276, 1278, 1302, 1363, 1523, 1527, 1638, 1761, 1809, 1819, 1826, 2010, 2026, 2094, 2183, 2563, 3846, 4003]",30,relaxed_lasso_1se
31,73,56,15,0.3142270342889714,21,0.9948630136986302,20.942865133285522,21,"[72, 287, 623, 824, 1281, 1305, 1311, 1523, 1638, 1761, 1848, 2115, 2241, 2563, 3225, 3310, 3513, 3538, 3807, 4002, 4074]",31,relaxed_lasso_1se
32,74,56,15,0.13271994599112466,26,0.9936399217221135,30.04172420501709,26,"[72, 314, 623, 973, 1130, 1281, 1302, 1311, 1424, 1489, 1515, 1523, 1635, 1638, 1761, 1856, 2026, 2094, 2563, 3104, 3225, 3310, 3513, 3807, 4002, 4074]",32,relaxed_lasso_1se
33,75,56,15,0.31613114695788896,13,0.9968199608610567,35.341426849365234,13,"[623, 826, 973, 1278, 1281, 1296, 1311, 1515, 1587, 1761, 2563, 4002, 4003]",33,relaxed_lasso_1se
34,76,56,15,0.6005721602124513,11,0.9973091976516634,17.315749168395996,11,"[623, 826, 973, 1094, 1281, 1477, 1761, 2563, 3377, 3807, 4002]",34,relaxed_lasso_1se
35,77,56,15,0.6182941436812587,21,0.9948630136986302,51.48525524139404,21,"[70, 132, 307, 550, 631, 1122, 1302, 1311, 1477, 1503, 1515, 1638, 1745, 1809, 1856, 1959, 1995, 3310, 3953, 4002, 4003]",35,relaxed_lasso_1se
36,78,56,15,0.5066992974211181,22,0.9946183953033269,19.47582459449768,22,"[623, 791, 826, 973, 1281, 1355, 1363, 1477, 1478, 1502, 1523, 1527, 1587, 1761, 1819, 2026, 2241, 2563, 3084, 3310, 3377, 4002]",36,relaxed_lasso_1se
37,79,56,15,0.31588440729588796,28,0.9931506849315068,34.776742696762085,28,"[72, 314, 550, 553, 556, 565, 651, 1094, 1122, 1130, 1302, 1503, 1515, 1523, 1761, 1809, 1826, 1856, 1959, 2241, 2302, 2563, 2771, 2873, 3310, 4002, 4072, 4074]",37,relaxed_lasso_1se
38,80,56,15,0.22333766237738156,22,0.9946183953033269,32.01169013977051,22,"[132, 142, 314, 623, 791, 973, 1281, 1515, 1523, 1527, 1635, 1638, 1639, 1761, 1819, 1856, 1995, 2115, 2563, 3225, 3507, 4002]",38,relaxed_lasso_1se
39,81,56,15,0.4579337784545889,20,0.9951076320939335,30.489526987075806,20,"[414, 623, 826, 973, 1209, 1277, 1281, 1302, 1311, 1424, 1479, 1527, 1761, 1995, 2563, 3310, 3513, 3846, 4002, 4003]",39,relaxed_lasso_1se
40,82,56,15,0.135530856393011,11,0.9973091976516634,35.153396129608154,11,"[623, 1277, 1302, 1311, 1515, 1638, 2563, 3513, 3807, 4002, 4003]",40,relaxed_lasso_1se
41,83,56,15,0.38655665359504404,13,0.9968199608610567,32.45308542251587,13,"[623, 826, 1122, 1277, 1296, 1299, 1502, 1515, 1587, 1985, 2563, 3513, 4002]",41,relaxed_lasso_1se
42,84,56,15,0.20576510984250299,10,0.9975538160469667,44.434322357177734,10,"[623, 1122, 1277, 1995, 2563, 3513, 4002, 4003, 4005, 4074]",42,relaxed_lasso_1se
43,85,56,15,0.20778902290206253,12,0.99706457925636,40.037097692489624,12,"[623, 1277, 1302, 1311, 1515, 1587, 1819, 1995, 2563, 3225, 4002, 4074]",43,relaxed_lasso_1se
44,86,56,15,0.5386366968425236,11,0.9973091976516634,19.184064388275146,11,"[623, 826, 1122, 1209, 1281, 1296, 1311, 1527, 1995, 2563, 4002]",44,relaxed_lasso_1se
45,87,56,15,0.23381955798012946,18,0.9955968688845401,38.14232134819031,18,"[623, 973, 1277, 1278, 1293, 1296, 1302, 1515, 1527, 1638, 1761, 1819, 1848, 2563, 2738, 3225, 3513, 4002]",45,relaxed_lasso_1se
46,88,56,15,0.1302353949500605,19,0.9953522504892368,36.291433334350586,19,"[72, 307, 314, 414, 623, 826, 973, 1277, 1302, 1515, 1638, 1819, 1826, 2563, 2873, 3225, 3513, 4002, 4074]",46,relaxed_lasso_1se
47,89,56,15,0.37253163031008957,31,0.9924168297455969,33.63349795341492,31,"[142, 143, 414, 623, 858, 1130, 1207, 1278, 1281, 1282, 1296, 1424, 1477, 1478, 1502, 1515, 1587, 1647, 1761, 1826, 1874, 1936, 2026, 2473, 2563, 2873, 3310, 3513, 3538, 4002, 4003]",47,relaxed_lasso_1se
