mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,repeat,strategy,sigma,snr,train_time,best_gamma,best_alpha,best_lambda_ridge,cv_mse
1.596332435142755,0.9836034118077488,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,sparsest,0.5,314.9239368297454,6.06496787071228,1.0,0.02615646741989982,10.0,0.794523649445584
0.6604262537325402,0.9932164898266724,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,most_penalized,0.5,314.9239368297454,5.800527334213257,1.0,0.02615646741989979,10.0,0.7945236494455845
0.8062712159920943,0.9898118745019552,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,1,sparsest,0.5,329.46111865723736,5.313153266906738,1.0,0.022732183463898298,0.1,0.6027036135333981
0.40408564471642644,0.9948939324898711,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,1,most_penalized,0.5,329.46111865723736,5.433496713638306,1.0,0.022732183463898253,0.1,0.6027036135333982
5.265251308796215,0.9219316658107292,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,2,sparsest,0.5,368.52897720831953,6.915805101394653,1.0,0.031936635159499446,1.0,1.7120326628776865
1.6167821525499577,0.9760278319126658,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,2,most_penalized,0.5,368.52897720831953,7.051969528198242,1.0,0.031936635159499384,1.0,1.7120326628776859
0.3737586871788693,0.9954518079369188,0.851063829787234,1.0,0.25925925925925924,0.7407407407407407,1.0,0.946,27,3,sparsest,0.5,355.85976078497015,4.837966442108154,1.0,0.016738661081317715,10.0,0.30832994850622236
0.35800775901813003,0.9956434777198676,0.851063829787234,1.0,0.25925925925925924,0.7407407407407407,1.0,0.946,27,3,most_penalized,0.5,355.85976078497015,5.737899541854858,1.0,0.016738661081317715,10.0,0.30832994850622225
4.092362350162987,0.9330933610898593,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,4,sparsest,0.5,313.44977345022124,11.000715494155884,1.0,0.030569889154108867,0.1,1.4353684185444444
1.1997488273323924,0.9803851285138531,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,4,most_penalized,0.5,313.44977345022124,9.283452272415161,1.0,0.030569889154108867,0.1,1.4353684185444444
6.407467439415227,0.9366183929113048,0.8085106382978724,0.95,0.2962962962962963,0.7037037037037037,0.95,0.946,27,0,sparsest,2.0,19.682746051859088,10.948384523391724,1.0,0.09925293534304198,100.0,5.938687581269212
5.371881281069676,0.9468622397377413,0.8085106382978724,0.95,0.2962962962962963,0.7037037037037037,0.95,0.946,27,0,most_penalized,2.0,19.682746051859088,10.510457992553711,1.0,0.09925293534304198,100.0,5.938687581269213
4.816172986109579,0.9417384488145689,0.6666666666666666,1.0,0.5,0.5,1.0,0.92,40,1,sparsest,2.0,20.591319916077335,7.984991073608398,0.7,0.10975137019848047,100.0,6.350687660804725
4.557440366401571,0.9448683537847463,0.6666666666666666,1.0,0.5,0.5,1.0,0.92,40,1,most_penalized,2.0,20.591319916077335,8.07107400894165,0.7,0.10975137019848047,100.0,6.350687660804725
11.891374568667535,0.834713488673707,0.7755102040816326,0.95,0.3448275862068966,0.6551724137931034,0.95,0.942,29,2,sparsest,2.0,23.03306107551997,9.632310628890991,1.0,0.1173223503172942,100.0,6.828476592017441
7.488333946033362,0.895914422135237,0.7755102040816326,0.95,0.3448275862068966,0.6551724137931034,0.95,0.942,29,2,most_penalized,2.0,23.03306107551997,10.126304388046265,1.0,0.1173223503172942,100.0,6.828476592017436
6.092361376473016,0.9336738074123325,0.7017543859649124,1.0,0.4594594594594595,0.5405405405405406,1.0,0.926,37,3,sparsest,2.0,22.241235049060634,7.469403982162476,0.3,0.1616237772198813,100.0,5.4045021413697345
6.0524342651909055,0.9341084850535166,0.7017543859649124,1.0,0.4594594594594595,0.5405405405405406,1.0,0.926,37,3,most_penalized,2.0,22.241235049060634,8.150981187820435,0.3,0.1616237772198813,100.0,5.404502141369736
7.894567128221352,0.8741632562495136,0.851063829787234,1.0,0.25925925925925924,0.7407407407407407,1.0,0.946,27,4,sparsest,2.0,19.590610840638828,10.043686151504517,1.0,0.08123222487225032,100.0,5.479162135640797
5.562742826415624,0.9113317510348121,0.851063829787234,1.0,0.25925925925925924,0.7407407407407407,1.0,0.946,27,4,most_penalized,2.0,19.590610840638828,9.358062505722046,1.0,0.08123222487225032,100.0,5.479162135640796
105.94584074800096,0.43053531651124044,0.3673469387755102,0.45,0.6896551724137931,0.3103448275862069,0.45,0.942,29,0,sparsest,10.0,0.7873098420743635,22.60139513015747,0.3,0.9273545188010146,100.0,123.29949027079036
104.20992917667039,0.4398659360669769,0.3673469387755102,0.45,0.6896551724137931,0.3103448275862069,0.45,0.942,29,0,most_penalized,10.0,0.7873098420743635,20.874176502227783,0.3,0.9273545188010146,100.0,123.29949027079036
115.34029331811017,0.32431698102716244,0.25531914893617025,0.3,0.7777777777777778,0.2222222222222222,0.3,0.946,27,1,sparsest,10.0,0.8236527966430935,17.587505102157593,0.3,0.998295561610273,100.0,130.83843403139605
114.67298100157755,0.3282262098635149,0.25531914893617025,0.3,0.7777777777777778,0.2222222222222222,0.3,0.946,27,1,most_penalized,10.0,0.8236527966430935,17.29309391975403,0.3,0.998295561610273,100.0,130.83843403139605
109.03454641881522,0.3115310618911177,0.27906976744186046,0.3,0.7391304347826086,0.2608695652173913,0.3,0.954,23,2,sparsest,10.0,0.9213224430207991,16.434258699417114,0.3,1.087678932325721,100.0,129.05785069884945
105.11695856549328,0.33626760308756354,0.27906976744186046,0.3,0.7391304347826086,0.2608695652173913,0.3,0.954,23,2,most_penalized,10.0,0.9213224430207991,16.21346926689148,0.3,1.0876789323257199,100.0,129.05785069884948
145.85763971423177,0.4164111415521695,0.39215686274509803,0.5,0.6774193548387096,0.3225806451612903,0.5,0.938,31,3,sparsest,10.0,0.8896494019624257,16.514742136001587,0.3,0.8781798076766185,100.0,123.02025288326881
144.1977022221994,0.42305269305381077,0.39215686274509803,0.5,0.6774193548387096,0.3225806451612903,0.5,0.938,31,3,most_penalized,10.0,0.8896494019624257,17.01666522026062,0.3,0.8781798076766185,100.0,123.02025288326881
121.7038529923928,0.21046043285265026,0.3870967741935483,0.3,0.45454545454545453,0.5454545454545454,0.3,0.978,11,4,sparsest,10.0,0.7836244336255532,12.336312055587769,0.7,0.8471792136476328,100.0,106.13681151141016
121.26557559523098,0.2133037064051091,0.3870967741935483,0.3,0.45454545454545453,0.5454545454545454,0.3,0.978,11,4,most_penalized,10.0,0.7836244336255532,12.345004796981812,0.7,0.8471792136476328,100.0,106.13681151141016
