sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time,best_gamma,best_alpha,best_lambda_ridge,cv_score
1.0,1.0,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.0090132064516006,-0.11191209037202614,0.0,0.0,0.2,0.0,0.0,0.9966000000000002,3.4,2.0,5.257907199859619,0.3,0.17406373537254255,10.0,-0.9845056097176424
1.0,1.0,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.7835175471887035,-0.907340318374437,0.0,0.0,0.6,0.0,0.0,0.976,24.0,2.0,6.651568365097046,0.38,0.13287157139439837,10.0,-1.7213297348438779
1.0,1.0,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.0894264996464078,-0.009315820889481307,0.0,0.0,0.4,0.0,0.0,0.9975999999999999,2.4,2.0,4.830880165100098,0.34,0.18433801043320558,10.0,-1.093412092556609
1.0,1.0,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.3674102740678136,-0.3994422687136058,0.0,0.0,0.4,0.0,0.0,0.9986,1.4,2.0,6.2297357559204105,0.5599999999999999,0.169562926725829,10.0,-1.3643700798856
1.0,1.0,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.7224098983956098,-0.8235126539883586,0.0,0.0,0.4,0.0,0.0,0.9924,7.6,2.0,6.455857372283935,0.44000000000000006,0.1571178151394155,10.0,-1.6945692091070783
1.0,1.0,5,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.5083508008626536,-0.5556832156769043,0.01951219512195122,0.02,0.38095238095238093,0.019047619047619046,0.02,0.9955999999999999,4.4,2.0,6.635806322097778,0.3,0.18126158672172554,10.0,-1.5022867140959657
1.0,1.0,6,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.7022763808190238,-0.4559952810972067,0.0,0.0,0.6,0.0,0.0,0.998,2.0,2.0,6.119091272354126,0.34,0.19927533980233803,10.0,-1.6883191830122133
1.0,1.0,7,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.3252223031456078,-0.3176886215938242,0.013333333333333332,0.01,0.78,0.02,0.01,0.9954000000000001,4.6,2.0,5.808688688278198,0.6399999999999999,0.16425118364916394,10.0,-1.3049771203063143
1.0,1.0,8,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,2.61715558161995,-1.4603352182858782,0.008,0.01,0.39333333333333337,0.006666666666666666,0.01,0.9934000000000001,6.6,2.0,7.113125944137574,0.48,0.19198809983533136,10.0,-2.594723084777672
1.0,1.0,9,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.3259147003252862,-0.3929950422155256,0.0,0.0,0.4,0.0,0.0,0.9966000000000002,3.4,2.0,5.9333501815795895,0.5199999999999999,0.18468607280140997,10.0,-1.3270252955456239
