model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std
AdaptiveFlippedLassoCV,0.5941,0.3285,40.1231,55.0487,0.7667,0.3421,0.4859,0.3317,0.5141,0.3317,0.7667,0.3421,0.8633,0.1812,0.9255,0.0381,37.2667,19.028
AdaptiveLassoCV,0.2949,0.2142,241.4289,57.8135,0.19,0.1429,0.0444,0.1721,0.6889,0.4623,0.19,0.1429,0.0116,0.0486,0.9921,0.0055,3.9333,2.7637
