model,f1_mean,f1_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,mse_mean,mse_std,r2_mean,r2_std
AdaptiveLassoCV (fixed),0.6171,0.3715,0.9606,0.0655,0.4411,0.4035,0.5589,0.4035,0.9606,0.0655,0.8218,0.1641,89.0875,82.0542,9.5233,10.6084,0.8825,0.1348
ElasticNetCV,0.7106,0.0968,0.9925,0.0329,0.4381,0.1097,0.5619,0.1097,0.9925,0.0329,0.9257,0.0204,37.15,10.182,5.0246,4.989,0.9388,0.0608
LassoCV,0.6918,0.0901,0.9881,0.0349,0.4611,0.1021,0.5389,0.1021,0.9881,0.0349,0.9237,0.0164,38.1375,8.2043,4.865,4.8281,0.9406,0.0594
"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.8839,0.0914,0.9631,0.0715,0.1764,0.1233,0.8236,0.1233,0.9631,0.0715,0.9524,0.007,23.825,3.5033,4.9979,4.9422,0.9388,0.0614
RelaxedLassoCV,0.757,0.071,0.9825,0.0458,0.3792,0.0856,0.6208,0.0856,0.9825,0.0458,0.9353,0.0109,32.35,5.438,4.7059,4.6699,0.9422,0.0585
UnilassoCV,0.7057,0.0632,0.995,0.0219,0.4499,0.0732,0.5501,0.0732,0.995,0.0219,0.9263,0.0107,36.85,5.3299,4.9417,4.5279,0.9389,0.0576
