sigma,snr,model,f1_mean,f1_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,mse_mean,mse_std,r2_mean,r2_std
0.5,2.0,AdaptiveLassoCV (fixed),0.979,0.0327,0.9975,0.0112,0.0368,0.0603,0.9632,0.0603,0.9975,0.0112,0.9584,0.003,20.8,1.5079,1.0361,0.4401,0.9859,0.0071
0.5,2.0,ElasticNetCV,0.7412,0.0834,1.0,0.0,0.4051,0.0984,0.5949,0.0984,1.0,0.0,0.9305,0.0147,34.75,7.3619,0.3588,0.0618,0.9952,0.0013
0.5,2.0,LassoCV,0.6929,0.1123,1.0,0.0,0.4594,0.1289,0.5406,0.1289,1.0,0.0,0.9213,0.0213,39.35,10.629,0.352,0.0629,0.9953,0.0014
0.5,2.0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.9718,0.0304,1.0,0.0,0.0533,0.0563,0.9467,0.0563,1.0,0.0,0.9576,0.0026,21.2,1.3219,0.4396,0.1256,0.9941,0.0019
0.5,2.0,RelaxedLassoCV,0.7581,0.0771,1.0,0.0,0.3839,0.0948,0.6161,0.0948,1.0,0.0,0.9333,0.0122,33.35,6.1153,0.3438,0.0814,0.9954,0.0015
0.5,2.0,UnilassoCV,0.727,0.0632,1.0,0.0,0.4254,0.0761,0.5746,0.0761,1.0,0.0,0.9291,0.0104,35.45,5.1858,0.7483,0.4626,0.99,0.0063
1.0,1.0,AdaptiveLassoCV (fixed),0.8934,0.1599,0.9875,0.0358,0.1511,0.2198,0.8489,0.2198,0.9875,0.0358,0.9469,0.0287,26.55,14.3728,2.3577,0.7037,0.9685,0.0124
1.0,1.0,ElasticNetCV,0.7382,0.0769,1.0,0.0,0.4097,0.0905,0.5903,0.0905,1.0,0.0,0.9303,0.0135,34.85,6.7534,1.4266,0.227,0.9811,0.005
1.0,1.0,LassoCV,0.7074,0.0953,1.0,0.0,0.445,0.1114,0.555,0.1114,1.0,0.0,0.9247,0.0175,37.65,8.7255,1.4103,0.2399,0.9814,0.0049
1.0,1.0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.9303,0.0545,1.0,0.0,0.126,0.0913,0.874,0.0913,1.0,0.0,0.9537,0.0055,23.15,2.7391,1.4285,0.2666,0.981,0.0057
1.0,1.0,RelaxedLassoCV,0.7637,0.077,1.0,0.0,0.3766,0.0953,0.6234,0.0953,1.0,0.0,0.9341,0.0121,32.95,6.0304,1.3628,0.3046,0.9819,0.0058
1.0,1.0,UnilassoCV,0.7126,0.0574,1.0,0.0,0.4436,0.0681,0.5564,0.0681,1.0,0.0,0.927,0.0096,36.5,4.8177,1.6791,0.5208,0.9777,0.0086
2.0,0.5,AdaptiveLassoCV (fixed),0.4238,0.2813,0.9625,0.0559,0.6724,0.2858,0.3276,0.2858,0.9625,0.0559,0.7733,0.1421,113.35,71.0547,8.4652,2.5468,0.8905,0.0498
2.0,0.5,ElasticNetCV,0.7139,0.0914,1.0,0.0,0.4375,0.1095,0.5625,0.1095,1.0,0.0,0.9261,0.0152,36.95,7.6121,5.675,1.029,0.9282,0.0196
2.0,0.5,LassoCV,0.6917,0.0703,0.9975,0.0112,0.4667,0.0788,0.5333,0.0788,0.9975,0.0112,0.9234,0.0128,38.3,6.4245,5.4703,0.9527,0.9306,0.0195
2.0,0.5,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.8492,0.0597,0.98,0.034,0.2465,0.0872,0.7535,0.0872,0.98,0.034,0.9473,0.0066,26.35,3.2971,5.5501,0.9192,0.9296,0.0196
2.0,0.5,RelaxedLassoCV,0.7637,0.0661,0.9975,0.0112,0.3771,0.0823,0.6229,0.0823,0.9975,0.0112,0.9347,0.01,32.65,5.0186,5.3416,1.0111,0.932,0.0208
2.0,0.5,UnilassoCV,0.7029,0.0617,0.9975,0.0112,0.4543,0.0711,0.5457,0.0711,0.9975,0.0112,0.9256,0.0106,37.2,5.2776,5.4674,0.9286,0.9301,0.0219
3.0,0.33,AdaptiveLassoCV (fixed),0.172,0.044,0.895,0.0809,0.9041,0.0294,0.0959,0.0294,0.895,0.0809,0.6087,0.0675,195.65,33.7456,26.2341,5.979,0.6853,0.1134
3.0,0.33,ElasticNetCV,0.6493,0.1093,0.97,0.0616,0.5,0.1189,0.5,0.1189,0.97,0.0616,0.9159,0.0307,42.05,15.3742,12.6379,2.0925,0.8506,0.0377
3.0,0.33,LassoCV,0.6752,0.0809,0.955,0.0583,0.4731,0.0876,0.5269,0.0876,0.955,0.0583,0.9255,0.0137,37.25,6.8432,12.2273,2.1233,0.8551,0.0396
3.0,0.33,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.7843,0.072,0.8725,0.091,0.2797,0.0955,0.7203,0.0955,0.8725,0.091,0.9508,0.008,24.6,3.9789,12.5735,2.1472,0.8506,0.0434
3.0,0.33,RelaxedLassoCV,0.7425,0.0666,0.9325,0.0712,0.3793,0.0747,0.6207,0.0747,0.9325,0.0712,0.9391,0.0086,30.45,4.3222,11.7755,2.1735,0.8597,0.0428
3.0,0.33,UnilassoCV,0.6804,0.0656,0.9825,0.0406,0.4761,0.0731,0.5239,0.0731,0.9825,0.0406,0.9235,0.012,38.25,5.9813,11.872,1.8259,0.8579,0.0436
