experiment_id,experiment_name,family,repeat,sigma,mse,accuracy,auc,tpr,fdr,f1,n_selected,est_error,time_seconds
exp1,高维成对相关稀疏回归,gaussian,1,0.5,0.23990455022154258,nan,nan,1.0,0.6551724137931034,0.5128205128205128,58,0.0003897747948202953,2.163381576538086
exp1,高维成对相关稀疏回归,gaussian,1,1.0,1.6124767927328374,nan,nan,1.0,0.6875,0.47619047619047616,64,0.002229747765252961,1.13423752784729
exp1,高维成对相关稀疏回归,gaussian,1,2.5,11.32925755215422,nan,nan,1.0,0.7183098591549296,0.43956043956043955,71,0.010516406479492577,1.0734732151031494
exp1,高维成对相关稀疏回归,gaussian,2,0.5,0.3620607795167659,nan,nan,1.0,0.6721311475409836,0.49382716049382713,61,0.0009091293866771884,1.0093209743499756
exp1,高维成对相关稀疏回归,gaussian,2,1.0,1.4947268539445835,nan,nan,1.0,0.6551724137931034,0.5128205128205128,58,0.0012609079907457894,0.8278050422668457
exp1,高维成对相关稀疏回归,gaussian,2,2.5,10.334179135406817,nan,nan,1.0,0.6923076923076923,0.47058823529411764,65,0.011202893582097882,0.7944934368133545
exp1,高维成对相关稀疏回归,gaussian,3,0.5,0.4291341444356293,nan,nan,1.0,0.5833333333333334,0.5882352941176471,48,0.0006321243026125469,0.6207103729248047
exp1,高维成对相关稀疏回归,gaussian,3,1.0,1.6295961092180906,nan,nan,1.0,0.6363636363636364,0.5333333333333333,55,0.0012986198143723371,0.7984764575958252
exp1,高维成对相关稀疏回归,gaussian,3,2.5,9.515358435319023,nan,nan,1.0,0.6721311475409836,0.49382716049382713,61,0.012754165405453616,0.8014376163482666
