sigma,snr,model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std
0.5,2.0,AFL-CV (eps=1e-10),0.8474,0.0599,0.3475,0.0434,1.0,0.0,0.2612,0.0891,0.7388,0.0891,1.0,0.0,0.9954,0.001
0.5,2.0,AFL-CV (eps=1e-5),0.8474,0.0599,0.3475,0.0434,1.0,0.0,0.2612,0.0891,0.7388,0.0891,1.0,0.0,0.9954,0.001
2.0,0.5,AFL-CV (eps=1e-10),0.7018,0.097,5.3979,0.5866,0.95,0.0707,0.4369,0.1149,0.5631,0.1149,0.95,0.0707,0.9322,0.0148
2.0,0.5,AFL-CV (eps=1e-5),0.7018,0.097,5.3979,0.5866,0.95,0.0707,0.4369,0.1149,0.5631,0.1149,0.95,0.0707,0.9322,0.0148
10.0,0.1,AFL-CV (eps=1e-10),0.309,0.1084,117.7183,19.6605,0.32,0.0908,0.6867,0.1567,0.3133,0.1567,0.32,0.0908,0.3515,0.0878
10.0,0.1,AFL-CV (eps=1e-5),0.309,0.1084,117.7183,19.6605,0.32,0.0908,0.6867,0.1567,0.3133,0.1567,0.32,0.0908,0.3515,0.0878
