sigma,snr,model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std
0.5,2.0,AdaptiveFlippedLassoCV,0.8521,0.0336,0.3472,0.0434,1.0,0.0,0.2564,0.0508,0.7436,0.0508,1.0,0.0,0.9954,0.001
2.0,0.5,AdaptiveFlippedLassoCV,0.7571,0.0755,5.1998,0.5293,0.98,0.0274,0.3772,0.1047,0.6228,0.1047,0.98,0.0274,0.9348,0.0138
10.0,0.1,AdaptiveFlippedLassoCV,0.3396,0.0933,118.4928,20.5476,0.36,0.0894,0.6687,0.1207,0.3313,0.1207,0.36,0.0894,0.3478,0.0871
