sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time,best_gamma,best_alpha,best_lambda_ridge,cv_score
0.5,2.0,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.30084187052541106,0.9969099291893104,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0,1.819178819656372,1.0,0.01873699313846618,10.0,-0.7293696299740954
0.5,2.0,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.3485769164312851,0.99559534645429,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,1.869837760925293,1.0,0.02275906259180027,1.0,-0.5566920407720146
0.5,2.0,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.322757039858112,0.9952144535993015,0.8163265306122449,1.0,0.3103448275862069,0.6896551724137931,1.0,0.942,29,0,2.0228686332702637,0.3,0.04467654406104488,1.0,-1.7192049816696386
0.5,2.0,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.4163461838089266,0.9949335695098167,0.8163265306122449,1.0,0.3103448275862069,0.6896551724137931,1.0,0.942,29,0,1.5546016693115234,0.5,0.03252613599831325,5.0,-0.41740908468668214
0.5,2.0,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.3475545208526802,0.9943177796004914,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0,1.5416638851165771,1.0,0.011789645878444001,1.0,-1.1966203646889917
2.0,0.5,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,4.803489066436172,0.9524846814217308,0.8260869565217392,0.95,0.2692307692307692,0.7307692307692307,0.95,0.948,26,0,2.6023688316345215,1.0,0.09031695987611812,50.0,-5.700114299862998
2.0,0.5,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,4.693189978309472,0.9432261820883839,0.6896551724137931,1.0,0.47368421052631576,0.5263157894736842,1.0,0.924,38,0,2.7414019107818604,0.5,0.15077904400946576,50.0,-6.123910648291828
2.0,0.5,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,5.252185347039034,0.9269962115953738,0.7169811320754716,0.95,0.42424242424242425,0.5757575757575758,0.95,0.9339999999999999,33,0,2.9860830307006836,1.0,0.0852451760763979,50.0,-6.636427239512868
2.0,0.5,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,6.038942450657186,0.9342553674581908,0.7017543859649124,1.0,0.4594594594594595,0.5405405405405406,1.0,0.926,37,0,2.873614549636841,0.3,0.1604544876680309,50.0,-5.469068512787747
2.0,0.5,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,5.2110477346761455,0.9169376524628103,0.851063829787234,1.0,0.25925925925925924,0.7407407407407407,1.0,0.946,27,0,2.642266273498535,1.0,0.05912856154891703,50.0,-5.291495835332878
10.0,0.1,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,102.86238272693716,0.4471090718717038,0.36000000000000004,0.45,0.7,0.3,0.45,0.94,30,0,5.425973176956177,0.3,0.8670491836266935,50.0,-122.86807359210574
10.0,0.1,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,114.56357580507947,0.3288671240777459,0.25531914893617025,0.3,0.7777777777777778,0.2222222222222222,0.3,0.946,27,0,5.4724650382995605,0.3,0.9535453882817971,50.0,-132.15658960148744
10.0,0.1,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,101.56346333640667,0.3587051806012722,0.23255813953488372,0.25,0.782608695652174,0.21739130434782608,0.25,0.954,23,0,5.276310920715332,0.3,1.058223860547304,50.0,-129.01415721619313
10.0,0.1,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,152.1765954180303,0.39112846076159047,0.45,0.45,0.55,0.45,0.45,0.96,20,0,5.2329511642456055,0.3,1.1819048612341687,50.0,-124.52482230758115
10.0,0.1,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,121.29799481071278,0.21309339052168041,0.4,0.35,0.5333333333333333,0.4666666666666667,0.35,0.97,15,0,4.664361476898193,0.3,1.1638749630867882,50.0,-106.2920429533101
