sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time,best_gamma,best_alpha,best_lambda_ridge,cv_score
0.5,2.0,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.2959199124776849,0.9969604846484562,0.8163265306122449,1.0,0.3103448275862069,0.6896551724137931,1.0,0.942,29,0,5.5637006759643555,1.0,0.009916010289826322,10.0,-0.6962840432766917
0.5,2.0,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.3486444150303956,0.9955944935350923,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,5.518650531768799,1.0,0.022743973899075412,0.5,-0.5432375370172844
0.5,2.0,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.3019231899180696,0.9955233588849526,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,5.734730005264282,1.0,0.02321459685253095,5.0,-1.453838779920798
0.5,2.0,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.41000104995734327,0.9950107821296511,0.8163265306122449,1.0,0.3103448275862069,0.6896551724137931,1.0,0.942,29,0,5.2959840297698975,0.7,0.02317440224486617,10.0,-0.33495243014036025
0.5,2.0,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.3473754712751419,0.9943207069085854,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0,5.138999938964844,1.0,0.011789645878444001,0.5,-1.1885106059293125
1.0,1.0,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.0589413505817968,0.9892137468103642,0.7692307692307693,1.0,0.375,0.625,1.0,0.9359999999999999,32,0,7.0319013595581055,1.0,0.025263997354077534,10.0,-1.6577456215995863
1.0,1.0,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.1310559226129584,0.9858367181519742,0.8333333333333333,1.0,0.2857142857142857,0.7142857142857143,1.0,0.944,28,0,7.179613351821899,1.0,0.04279453619434189,10.0,-1.652362780305591
1.0,1.0,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.2445280329818067,0.9818405555295521,0.7843137254901961,1.0,0.3548387096774194,0.6451612903225806,1.0,0.938,31,0,7.237094163894653,1.0,0.04078326084404273,10.0,-2.454264268125469
1.0,1.0,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.482983218790358,0.9824918987433003,0.8,1.0,0.3333333333333333,0.6666666666666666,1.0,0.94,30,0,7.301153182983398,1.0,0.030836501260137733,10.0,-1.2504099049998327
1.0,1.0,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.288144906451407,0.9789321891218307,0.851063829787234,1.0,0.25925925925925924,0.7407407407407407,1.0,0.946,27,0,6.508686304092407,1.0,0.03082265467936803,10.0,-1.859302151340734
2.0,0.5,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,4.841319230929376,0.9521104716977361,0.7037037037037037,0.95,0.4411764705882353,0.5588235294117647,0.95,0.9319999999999999,34,0,9.169460773468018,0.5,0.12814749821625968,10.0,-5.794318240341586
2.0,0.5,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,5.361037977391826,0.9351471823317629,0.4878048780487805,1.0,0.6774193548387096,0.3225806451612903,1.0,0.876,62,0,9.65340805053711,0.3,0.10975137019848047,10.0,-6.319972088432364
2.0,0.5,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,5.576892221214142,0.9224828842145778,0.6666666666666667,0.9,0.47058823529411764,0.5294117647058824,0.9,0.9319999999999999,34,0,9.326833486557007,0.5,0.1489687582251755,10.0,-6.685037073364581
2.0,0.5,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,6.0929677690673065,0.9336672057501022,0.6896551724137931,1.0,0.47368421052631576,0.5263157894736842,1.0,0.924,38,0,9.018703699111938,0.3,0.15942495959011752,10.0,-5.166192913177588
2.0,0.5,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,5.283273027709835,0.9157864055933913,0.8333333333333333,1.0,0.2857142857142857,0.7142857142857143,1.0,0.944,28,0,8.497834920883179,1.0,0.05912856154891703,10.0,-5.1377341756170924
5.0,0.2,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,27.530939636780815,0.7707970643298571,0.5555555555555556,0.75,0.5588235294117647,0.4411764705882353,0.75,0.9319999999999999,34,0,12.389901399612427,0.3,0.46809981946219886,10.0,-32.74003984087833
5.0,0.2,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,34.49504709029597,0.6618623754158106,0.33333333333333337,0.55,0.7608695652173914,0.2391304347826087,0.55,0.908,46,0,12.38642430305481,0.3,0.3708010398648645,10.0,-36.365340865980976
5.0,0.2,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,29.3949207985578,0.6806050799737471,0.425531914893617,0.5,0.6296296296296297,0.37037037037037035,0.5,0.946,27,0,12.853044033050537,0.3,0.531762997788297,10.0,-34.03526118327493
5.0,0.2,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,35.63328261453073,0.7261517667163311,0.490566037735849,0.65,0.6060606060606061,0.3939393939393939,0.65,0.9339999999999999,33,0,11.785119533538818,0.3,0.424130998546293,10.0,-31.38211019321123
5.0,0.2,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,32.34774697561101,0.5988009800218288,0.553191489361702,0.65,0.5185185185185185,0.48148148148148145,0.65,0.946,27,0,10.287763833999634,0.3,0.416787435582225,10.0,-29.387899640684925
10.0,0.1,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,106.49967992034586,0.42755840069504303,0.358974358974359,0.35,0.631578947368421,0.3684210526315789,0.35,0.962,19,0,20.824049949645996,0.3,1.1005951710077375,10.0,-125.62266978073811
10.0,0.1,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,114.47565166979894,0.3293821985886376,0.25,0.3,0.7857142857142857,0.21428571428571427,0.3,0.944,28,0,18.917765140533447,0.3,0.8849224492590255,10.0,-134.4845595630074
10.0,0.1,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,99.86915521226838,0.3694034276556889,0.1951219512195122,0.2,0.8095238095238095,0.19047619047619047,0.2,0.958,21,0,20.392553091049194,0.3,1.0017406112902918,10.0,-129.07761771443725
10.0,0.1,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,144.06198960551578,0.42359569080972226,0.37037037037037035,0.5,0.7058823529411765,0.29411764705882354,0.5,0.9319999999999999,34,0,17.22865867614746,0.3,0.8310970375011669,10.0,-121.22714668682613
10.0,0.1,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,122.16307952896616,0.20748125419894425,0.4848484848484849,0.4,0.38461538461538464,0.6153846153846154,0.4,0.974,13,0,16.115543842315674,0.3,1.1638749630867882,10.0,-107.50383829186087
