sigma,snr,model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std
0.5,2.0,AdaptiveFlippedLassoCV,0.856,0.0371,0.3408,0.0459,1.0,0.0,0.2503,0.0562,0.7497,0.0562,1.0,0.0,0.9955,0.001
1.0,1.0,AdaptiveFlippedLassoCV,0.8076,0.034,1.2411,0.1628,1.0,0.0,0.3216,0.0481,0.6784,0.0481,1.0,0.0,0.9837,0.004
2.0,0.5,AdaptiveFlippedLassoCV,0.6762,0.1237,5.4311,0.4566,0.97,0.0447,0.4697,0.1395,0.5303,0.1395,0.97,0.0447,0.9318,0.0139
5.0,0.2,AdaptiveFlippedLassoCV,0.4716,0.0939,31.8804,3.3998,0.62,0.0975,0.6148,0.0922,0.3852,0.0922,0.62,0.0975,0.6876,0.0652
10.0,0.1,AdaptiveFlippedLassoCV,0.3319,0.1129,117.4139,17.0898,0.35,0.1118,0.6635,0.1709,0.3365,0.1709,0.35,0.1118,0.3515,0.0902
