model,f1_mean,f1_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,mse_mean,mse_std,r2_mean,r2_std
AdaptiveLassoCV (fixed),0.6156,0.3277,0.9556,0.0601,0.4509,0.3743,0.5491,0.3743,0.9556,0.0601,0.8483,0.1384,75.85,69.2186,7.6863,7.2048,0.963,0.0365
ElasticNetCV,0.4638,0.0423,0.9912,0.0222,0.6964,0.0342,0.3036,0.0342,0.9912,0.0222,0.8675,0.0179,66.25,8.9549,5.467,5.5105,0.974,0.0261
LassoCV,0.4589,0.0328,0.9938,0.0201,0.7012,0.0272,0.2988,0.0272,0.9938,0.0201,0.866,0.0116,67.0125,5.8103,5.1444,5.1249,0.9754,0.0247
"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.8689,0.1395,0.955,0.0818,0.1908,0.1841,0.8092,0.1841,0.955,0.0818,0.9506,0.0106,24.7125,5.2991,5.554,5.7013,0.9735,0.0273
RelaxedLassoCV,0.4721,0.0353,0.985,0.0431,0.689,0.0288,0.311,0.0288,0.985,0.0431,0.8725,0.01,63.75,5.0202,5.0274,5.0577,0.9759,0.0245
UnilassoCV,0.4294,0.0309,0.995,0.0171,0.7258,0.0247,0.2742,0.0247,0.995,0.0171,0.8537,0.0132,73.15,6.6182,5.2966,4.9765,0.9746,0.0243
