sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,selection_f1,selection_accuracy,fold,train_time,best_alpha,best_lambda_ridge,sign_accuracy,best_gamma,cv_score
0.5,2.0,0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.28502253212461787,0.9987083037509865,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0.9523809523809523,0.996,0,2.9678266048431396,0.046466202853145316,10.0,1.0,,
0.5,2.0,1,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.286356150016948,0.9984471333268321,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,2.6982486248016357,0.06643344313473486,10.0,1.0,,
0.5,2.0,2,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.4377433728068454,0.9979618972754055,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,3.198638439178467,0.11544835089463677,0.1,1.0,,
0.5,2.0,3,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.7225790695150707,0.9964019357301395,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0.975609756097561,0.998,0,3.5812668800354004,0.18844271725906356,0.1,1.0,,
0.5,2.0,4,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.4513082650544049,0.9981614755292005,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,2.7402777671813965,0.09655841778074378,10.0,1.0,,
0.5,2.0,5,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.9304769306839603,0.9957759912753373,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,4.239917993545532,0.18591955234126556,0.1,1.0,,
0.5,2.0,6,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.2716212577472076,0.9985338037463485,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,2.6989798545837402,0.058012137591961305,10.0,1.0,,
0.5,2.0,7,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.5025633975147691,0.9980395142801346,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,3.729579210281372,0.1529289586141633,0.1,1.0,,
0.5,2.0,8,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.5375026279786115,0.996692511825919,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,2.8380329608917236,0.12360289762726022,100.0,1.0,,
0.5,2.0,9,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.3093445444744137,0.9986319611228559,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,4.719045400619507,0.029297786441453748,10.0,1.0,,
0.5,2.0,10,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.37135428106226304,0.9968040310039019,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,4.053807973861694,0.07063330842792875,0.1,1.0,,
0.5,2.0,11,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.8216572894859949,0.9960900043154788,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,4.498666524887085,0.18086931766877365,10.0,1.0,,
0.5,2.0,12,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.3232907678191416,0.9985628566179984,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,6.104633331298828,0.11240559701437351,1.0,1.0,,
0.5,2.0,13,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.34954934160832973,0.9984527328539708,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,5.084014892578125,0.06337775984425453,10.0,1.0,,
0.5,2.0,14,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.2855067995100797,0.9986087330513392,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,3.084310293197632,0.06977351678035319,1.0,1.0,,
0.5,2.0,15,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.5689447927902495,0.9964219292468843,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,4.229461908340454,0.17845196701986293,0.1,1.0,,
0.5,2.0,16,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.4871521927605849,0.9980677351484734,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,3.1536190509796143,0.07418789499765494,0.1,1.0,,
0.5,2.0,17,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.37739327020790825,0.9979213702601545,1.0,1.0,0.0,1.0,1.0,0.96,20,1.0,1.0,0,3.124342679977417,0.04811257973402118,0.1,1.0,,
