sigma,snr,model,f1_mean,f1_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,mse_mean,mse_std,r2_mean,r2_std
0.5,2.0,AdaptiveLassoCV (fixed),0.8117,0.2973,1.0,0.0,0.2358,0.3441,0.7642,0.3441,1.0,0.0,0.9543,0.0483,45.7,48.3181,1.0616,0.5402,0.9943,0.0032
0.5,2.0,LassoCV,0.6286,0.1307,1.0,0.0,0.5291,0.139,0.4709,0.139,1.0,0.0,0.9535,0.0146,46.5,14.6125,0.4013,0.0675,0.9979,0.0004
0.5,2.0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.9988,0.0055,1.0,0.0,0.0024,0.0106,0.9976,0.0106,1.0,0.0,0.98,0.0002,20.05,0.2236,0.6208,0.2112,0.9967,0.0012
0.5,2.0,RelaxedLassoCV,0.6497,0.1244,1.0,0.0,0.5074,0.1313,0.4926,0.1313,1.0,0.0,0.9557,0.015,44.25,15.0188,0.3966,0.0668,0.9979,0.0005
0.5,2.0,UnilassoCV,0.4972,0.0852,1.0,0.0,0.6651,0.0765,0.3349,0.0765,1.0,0.0,0.9372,0.0142,62.75,14.1788,2.4197,0.7243,0.987,0.0048
1.0,1.0,AdaptiveLassoCV (fixed),0.9844,0.0207,1.0,0.0,0.0299,0.0392,0.9701,0.0392,1.0,0.0,0.9794,0.0009,20.65,0.8751,1.8319,0.6155,0.9902,0.004
1.0,1.0,LassoCV,0.6138,0.1432,1.0,0.0,0.541,0.1658,0.459,0.1658,1.0,0.0,0.9518,0.0138,48.2,13.8359,1.6083,0.3168,0.9916,0.0018
1.0,1.0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.994,0.0132,1.0,0.0,0.0117,0.0255,0.9883,0.0255,1.0,0.0,0.9797,0.0006,20.25,0.5501,1.5694,0.2962,0.9917,0.0019
1.0,1.0,RelaxedLassoCV,0.6883,0.1135,1.0,0.0,0.4643,0.1328,0.5357,0.1328,1.0,0.0,0.9602,0.0106,39.75,10.6271,1.5396,0.3745,0.9918,0.0027
1.0,1.0,UnilassoCV,0.4852,0.0641,1.0,0.0,0.6774,0.0568,0.3226,0.0568,1.0,0.0,0.9362,0.0109,63.8,10.9237,3.1254,0.7452,0.9832,0.0055
2.0,0.5,AdaptiveLassoCV (fixed),0.715,0.0838,1.0,0.0,0.4374,0.0999,0.5626,0.0999,1.0,0.0,0.9632,0.0074,36.75,7.4047,5.3814,1.169,0.9715,0.0091
2.0,0.5,LassoCV,0.5854,0.0939,1.0,0.0,0.5801,0.097,0.4199,0.097,1.0,0.0,0.9498,0.0128,50.2,12.8005,6.2522,1.0982,0.9676,0.0069
2.0,0.5,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.9668,0.0245,1.0,0.0,0.0633,0.046,0.9367,0.046,1.0,0.0,0.9786,0.001,21.4,1.0463,5.5223,0.7901,0.9713,0.0057
2.0,0.5,RelaxedLassoCV,0.7143,0.1126,1.0,0.0,0.4334,0.1331,0.5666,0.1331,1.0,0.0,0.9624,0.0106,37.55,10.5555,6.0581,1.1931,0.9681,0.0089
2.0,0.5,UnilassoCV,0.4784,0.0618,1.0,0.0,0.6835,0.0545,0.3165,0.0545,1.0,0.0,0.9351,0.0105,64.9,10.5426,6.611,1.4847,0.9647,0.012
3.0,0.33,AdaptiveLassoCV (fixed),0.4019,0.0629,1.0,0.0,0.7467,0.0503,0.2533,0.0503,1.0,0.0,0.9182,0.0153,81.8,15.3369,13.6609,2.7465,0.9298,0.0209
3.0,0.33,LassoCV,0.5797,0.093,1.0,0.0,0.586,0.0944,0.414,0.0944,1.0,0.0,0.9491,0.0129,50.9,12.9204,14.0445,2.4642,0.929,0.0149
3.0,0.33,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.9453,0.0281,1.0,0.0,0.1024,0.0505,0.8976,0.0505,1.0,0.0,0.9776,0.0013,22.35,1.268,12.3622,1.8562,0.9373,0.0127
3.0,0.33,RelaxedLassoCV,0.7267,0.1074,1.0,0.0,0.4191,0.1286,0.5809,0.1286,1.0,0.0,0.9636,0.0098,36.4,9.8216,13.5416,2.7353,0.9304,0.02
3.0,0.33,UnilassoCV,0.4673,0.0572,1.0,0.0,0.6934,0.0502,0.3066,0.0502,1.0,0.0,0.9332,0.0099,66.75,9.9041,13.0527,3.0224,0.932,0.0239
