model,f1_mean,f1_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,mse_mean,mse_std,r2_mean,r2_std
AdaptiveLassoCV (fixed),0.7282,0.2634,1.0,0.0,0.3624,0.3205,0.6376,0.3205,1.0,0.0,0.9538,0.0338,46.225,33.7673,5.484,5.25,0.9714,0.0281
LassoCV,0.6019,0.1168,1.0,0.0,0.5591,0.1275,0.4409,0.1275,1.0,0.0,0.951,0.0134,48.95,13.4154,5.5766,5.5508,0.9715,0.0284
"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.9762,0.0293,1.0,0.0,0.0449,0.0545,0.9551,0.0545,1.0,0.0,0.979,0.0013,21.0125,1.2678,5.0187,4.7577,0.9742,0.0245
RelaxedLassoCV,0.6947,0.1163,1.0,0.0,0.4561,0.1334,0.5439,0.1334,1.0,0.0,0.9605,0.0119,39.4875,11.8546,5.384,5.4017,0.972,0.0288
UnilassoCV,0.482,0.0675,1.0,0.0,0.6798,0.0601,0.3202,0.0601,1.0,0.0,0.9354,0.0114,64.55,11.3839,6.3022,4.5737,0.9667,0.0258
