sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time,best_gamma,best_alpha,best_lambda_ridge,cv_score
0.5,2.0,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.380183298284005,0.9981222233859581,0.8851998243302592,1.0,0.20564102564102565,0.7943589743589745,1.0,0.9495999999999999,25.2,2.0,3.9642600536346437,0.86,0.042751547292426154,8.1,-0.883532977138638
0.5,2.0,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.0351255932611976,0.9958674330836264,0.906222386856047,1.0,0.16434639822945668,0.8356536017705432,1.0,0.9512,24.4,2.0,3.989906644821167,0.8,0.03519940750635704,0.6,-1.4868583460346338
0.5,2.0,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.4783105549423724,0.9978867882055266,0.8742284100506268,1.0,0.21752858849633044,0.7824714115036695,1.0,0.9479999999999998,26.0,2.0,3.694203996658325,0.7200000000000001,0.04002807420394126,2.4,-1.4530293187986938
0.5,2.0,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.4987968823252814,0.9974628041492908,0.943939025617982,1.0,0.10530773574251835,0.8946922642574815,1.0,0.9551999999999999,22.4,2.0,3.991493034362793,0.8,0.04622305067816081,3.3,-0.9605458776867006
0.5,2.0,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.3661434921097597,0.9982585821891196,0.9462074157726331,1.0,0.09766899766899766,0.9023310023310023,1.0,0.9551999999999999,22.4,2.0,4.593697595596313,1.0,0.0319750971546084,6.2,-1.9904783944269937
0.5,2.0,5,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.4100526120101238,0.9981742749548512,0.9263935031376892,1.0,0.13644268774703558,0.8635573122529644,1.0,0.9535999999999998,23.2,2.0,4.354822635650635,0.74,0.04694142249499297,8.4,-0.9150468772111833
0.5,2.0,6,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.45552390519912295,0.997942653348273,0.8605845141297065,1.0,0.24230677327451527,0.7576932267254848,1.0,0.9468,26.6,2.0,4.394523811340332,0.8,0.043202176698756575,8.1,-0.8100985200574323
0.5,2.0,7,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.8769266031887117,0.9946359852552286,0.8338057089523216,1.0,0.28057413600891856,0.7194258639910813,1.0,0.9436,28.2,2.0,4.086856460571289,0.8400000000000001,0.03271966192596578,6.2,-1.5625675665440668
0.5,2.0,8,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.37896136239901135,0.9981231990742374,0.958946240625197,1.0,0.07561076604554864,0.9243892339544514,1.0,0.9564,21.8,2.0,4.284477281570434,0.7,0.052826150394748306,4.7,-0.8244457316967667
0.5,2.0,9,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,0.5299149667151898,0.9973446488084091,0.8504289557909823,1.0,0.24963851308678894,0.7503614869132111,1.0,0.9448000000000001,27.6,2.0,4.354151439666748,0.8400000000000001,0.02639689817368892,4.7,-0.5761062483853333
1.0,1.0,0,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.2769806437408369,0.9936641384243862,0.8150080875948736,1.0,0.30755326755326756,0.6924467324467324,1.0,0.9412,29.4,2.0,5.531848430633545,0.8,0.06338240167772094,8.1,-1.8804982567398916
1.0,1.0,1,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.9148944178412954,0.9924047404985075,0.8786284287459232,1.0,0.20611962926099975,0.7938803707390003,1.0,0.9479999999999998,26.0,2.0,5.861318922042846,0.9,0.05166913206138703,8.0,-2.5750324513188803
1.0,1.0,2,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.3497115588019593,0.9941686295273744,0.7646688864224934,1.0,0.3778662198017037,0.6221337801982962,1.0,0.9347999999999999,32.6,2.0,5.929360675811767,0.8,0.06639458322608498,6.3,-2.4756808940333883
1.0,1.0,3,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.302736941473823,0.9932788162021782,0.8865623078883841,1.0,0.20174833218311478,0.7982516678168852,1.0,0.9495999999999999,25.2,2.0,5.437155437469483,0.9400000000000001,0.05763600243607679,4.3,-1.7564386587511898
1.0,1.0,4,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.2853293190137183,0.993820680913673,0.8635832004253057,1.0,0.23189189189189188,0.7681081081081083,1.0,0.9464,26.8,2.0,5.9893545627594,1.0,0.05017150549573862,8.1,-3.1048452473066934
1.0,1.0,5,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.3107486500441146,0.994161890834566,0.8348513959059749,1.0,0.282000407000407,0.7179995929995929,1.0,0.9439999999999997,28.0,2.0,5.7540059089660645,0.8800000000000001,0.05197371683915229,10.0,-1.9169581879160116
1.0,1.0,6,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.591234085696343,0.9928414560611956,0.6824179315827498,1.0,0.4752427602698995,0.5247572397301006,1.0,0.9208000000000001,39.6,2.0,6.276430463790893,0.72,0.06960567068451658,9.0,-2.111355911330529
1.0,1.0,7,AdaptiveFlippedLassoCV,adaptive_flipped_lasso_cv,True,1.8646904885353575,0.9884893671334174,0.7569058723498013,1.0,0.38359048703876286,0.616409512961237,1.0,0.9328,33.6,2.0,5.672189378738404,0.9,0.049156511026159366,9.0,-2.37206189744571
