experiment_id,experiment_name,family,sigma,avg_mse,avg_accuracy,avg_auc,avg_tpr,avg_fdr,avg_f1,avg_n_selected,avg_est_error,avg_time_seconds
exp1,高维成对相关稀疏回归,gaussian,0.5,0.5871854354702739,nan,nan,1.0,0.608510099904135,0.5605967631284087,52.0,0.0017324257237470286,1.3348745505015056
exp1,高维成对相关稀疏回归,gaussian,1.0,1.8725188254086615,nan,nan,1.0,0.6227460997436784,0.5471982714690474,53.333333333333336,0.0025947013047528133,0.8819469610850016
exp1,高维成对相关稀疏回归,gaussian,2.5,10.203167244734571,nan,nan,1.0,0.6763101664417454,0.48875307698837106,62.0,0.01077681327363346,0.8976136843363444
