sigma,snr,model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std
0.5,2.0,AdaptiveFlippedLassoCV,0.0098,0.0218,0.4399,0.1949,0.01,0.0224,0.3905,0.5349,0.0095,0.0213,0.01,0.0224,-1.174,1.4213
2.0,0.5,AdaptiveFlippedLassoCV,0.0089,0.0199,3.9813,0.5314,0.01,0.0224,0.392,0.537,0.008,0.0179,0.01,0.0224,-0.1246,0.1462
10.0,0.1,AdaptiveFlippedLassoCV,0.0089,0.0199,92.6171,19.0349,0.01,0.0224,0.392,0.537,0.008,0.0179,0.01,0.0224,-0.034,0.0394
