model,f1_mean,f1_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,mse_mean,mse_std,r2_mean,r2_std
AdaptiveLassoCV (fixed),0.7932,0.285,0.9912,0.0326,0.2594,0.3391,0.7406,0.3391,0.9912,0.0326,0.9549,0.047,22.5375,23.513,4.6288,4.361,0.7669,0.1876
LassoCV,0.7101,0.1843,0.9975,0.0157,0.4164,0.2256,0.5836,0.2256,0.9975,0.0157,0.9592,0.0187,20.4,9.3384,4.4713,4.5187,0.7807,0.1929
"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.972,0.0583,0.985,0.048,0.0362,0.0842,0.9638,0.0842,0.985,0.048,0.9794,0.0024,10.3125,1.197,4.2642,4.3991,0.7917,0.1873
RelaxedLassoCV,0.8233,0.1515,0.9975,0.0157,0.272,0.2097,0.728,0.2097,0.9975,0.0157,0.9695,0.0115,15.25,5.749,4.1401,4.2682,0.7955,0.1874
UnilassoCV,0.884,0.1033,0.9988,0.0112,0.1931,0.1578,0.8069,0.1578,0.9988,0.0112,0.9741,0.006,12.9375,3.0036,3.9431,4.0274,0.8062,0.1727
