sigma,snr,model,f1_mean,f1_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,mse_mean,mse_std,r2_mean,r2_std
0.5,2.0,AdaptiveLassoCV (fixed),0.9704,0.0977,0.985,0.0489,0.03,0.1342,0.97,0.1342,0.985,0.0489,0.9788,0.0068,10.6,3.4244,1.1989,1.7058,0.9174,0.111
0.5,2.0,LassoCV,0.6841,0.1654,1.0,0.0,0.4589,0.1782,0.5411,0.1782,1.0,0.0,0.9571,0.0195,21.45,9.7736,0.3092,0.0581,0.9783,0.0056
0.5,2.0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.98,0.0,10.0,0.0,0.2942,0.0589,0.9794,0.0054
0.5,2.0,RelaxedLassoCV,0.8096,0.1671,1.0,0.0,0.2902,0.2242,0.7098,0.2242,1.0,0.0,0.968,0.0136,16.0,6.7901,0.2945,0.0767,0.9792,0.0072
0.5,2.0,UnilassoCV,0.9563,0.0605,1.0,0.0,0.0779,0.1044,0.9221,0.1044,1.0,0.0,0.978,0.0029,11.0,1.451,0.326,0.0942,0.9771,0.008
1.0,1.0,AdaptiveLassoCV (fixed),0.9785,0.0663,0.995,0.0224,0.0306,0.1043,0.9694,0.1043,0.995,0.0224,0.9791,0.0037,10.45,1.8489,1.6352,0.9416,0.8919,0.0586
1.0,1.0,LassoCV,0.7274,0.1889,1.0,0.0,0.3965,0.2273,0.6035,0.2273,1.0,0.0,0.9606,0.0181,19.7,9.0734,1.2536,0.2513,0.9167,0.0203
1.0,1.0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.9976,0.0106,1.0,0.0,0.0045,0.0203,0.9955,0.0203,1.0,0.0,0.9799,0.0004,10.05,0.2236,1.1406,0.2339,0.9242,0.019
1.0,1.0,RelaxedLassoCV,0.8253,0.1527,1.0,0.0,0.2715,0.2114,0.7285,0.2114,1.0,0.0,0.9696,0.0112,15.2,5.6064,1.1567,0.282,0.9223,0.0257
1.0,1.0,UnilassoCV,0.9251,0.0719,1.0,0.0,0.1317,0.1217,0.8683,0.1217,1.0,0.0,0.9765,0.0035,11.75,1.7733,1.0926,0.2519,0.9271,0.0209
2.0,0.5,AdaptiveLassoCV (fixed),0.8383,0.2397,1.0,0.0,0.2273,0.2643,0.7727,0.2643,1.0,0.0,0.9564,0.0629,21.8,31.4485,4.5035,1.1225,0.7498,0.0654
2.0,0.5,LassoCV,0.7229,0.1996,1.0,0.0,0.3964,0.2545,0.6036,0.2545,1.0,0.0,0.96,0.0187,20.0,9.3415,5.0357,1.0416,0.7207,0.0602
2.0,0.5,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.9792,0.0549,1.0,0.0,0.0362,0.0914,0.9638,0.0914,1.0,0.0,0.979,0.0028,10.5,1.3955,4.6528,0.973,0.7422,0.0555
2.0,0.5,RelaxedLassoCV,0.8308,0.1518,1.0,0.0,0.2633,0.213,0.7367,0.213,1.0,0.0,0.97,0.0109,15.0,5.4387,4.6107,1.1024,0.7422,0.0743
2.0,0.5,UnilassoCV,0.8637,0.0959,1.0,0.0,0.2283,0.1446,0.7717,0.1446,1.0,0.0,0.9731,0.0056,13.45,2.7999,4.3318,0.9755,0.759,0.0596
3.0,0.33,AdaptiveLassoCV (fixed),0.3857,0.1425,0.985,0.0366,0.7497,0.1212,0.2503,0.1212,0.985,0.0366,0.9054,0.0371,47.3,18.5674,11.1776,2.6539,0.5084,0.1242
3.0,0.33,LassoCV,0.706,0.1928,0.99,0.0308,0.4138,0.2461,0.5862,0.2461,0.99,0.0308,0.9591,0.0196,20.45,9.779,11.2867,2.3204,0.5073,0.0872
3.0,0.33,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",0.9112,0.0744,0.94,0.0821,0.1039,0.1159,0.8961,0.1159,0.94,0.0821,0.9786,0.0038,10.7,1.8946,10.9692,2.2618,0.5212,0.085
3.0,0.33,RelaxedLassoCV,0.8276,0.1446,0.99,0.0308,0.263,0.2051,0.737,0.2051,0.99,0.0308,0.9704,0.0109,14.8,5.4251,10.4985,2.592,0.5382,0.121
3.0,0.33,UnilassoCV,0.7908,0.0974,0.995,0.0224,0.3345,0.1288,0.6655,0.1288,0.995,0.0224,0.9689,0.0068,15.55,3.3947,10.0219,2.2443,0.5615,0.0922
