sigma,snr,repeat,model,algo,use_cv,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,selection_f1,selection_accuracy,fold,train_time,best_alpha,best_lambda_ridge,sign_accuracy,best_gamma,cv_score
0.5,2.0,0,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.25303346261532994,0.9840242053305623,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,1.735302209854126,0.030915311735026877,0.1,1.0,,
0.5,2.0,1,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.38202616759685426,0.9680225284072299,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,1.7611994743347168,0.043209761525580224,0.1,1.0,,
0.5,2.0,2,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.20191862400781138,0.9872708827953408,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,1.961721420288086,0.038873858970871276,0.1,1.0,,
0.5,2.0,3,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.23409285198160998,0.9848845395086433,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,1.6390984058380127,0.04683606626662204,0.1,1.0,,
0.5,2.0,4,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.3211646887183068,0.9827642729064316,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,1.8780333995819092,0.07608292120421731,0.1,1.0,,
0.5,2.0,5,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.33807644638526074,0.9732411944876062,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,1.8527789115905762,0.042879197784177404,0.1,1.0,,
0.5,2.0,6,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.37731607233766395,0.9734815765544067,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,1.7511827945709229,0.04672563507417776,10.0,1.0,,
0.5,2.0,7,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.21233516524419285,0.984861655903206,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,1.865112543106079,0.03444382107405817,0.1,1.0,,
0.5,2.0,8,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.36261286716910995,0.9729811354871977,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,2.0586116313934326,0.052675113125644726,1.0,1.0,,
0.5,2.0,9,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.38223312715352004,0.9766970062931986,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,2.012693405151367,0.05928995126492646,0.1,1.0,,
0.5,2.0,10,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.2941311737769476,0.9776643373274515,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,1.7442224025726318,0.04810755368537927,10.0,1.0,,
0.5,2.0,11,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.2070321091712151,0.9791018469381193,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,1.806577205657959,0.044373016177528216,10.0,1.0,,
0.5,2.0,12,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.2984210880894922,0.9824468964257799,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,1.6990225315093994,0.0385021360548327,1.0,1.0,,
0.5,2.0,13,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.3105566237252237,0.9817894819940242,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,1.8400886058807373,0.04729686210713311,0.1,1.0,,
0.5,2.0,14,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.3068535955940861,0.9740200170632601,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,1.8715496063232422,0.10251601926210367,0.1,1.0,,
0.5,2.0,15,"PFLRegressorCV (BAFL, gamma=1.0, cap=10.0)",pfl_regressor_cv,True,0.2554221374594912,0.9827652828193935,1.0,1.0,0.0,1.0,1.0,0.98,10,1.0,1.0,0,1.668614387512207,0.07367724267586222,0.1,1.0,,
