metric,m_s,r_2,f_1,t_p,f_d,p_r,r_e,s_p,n__,f_o,t_r
mean,932.6906119804504,-2.711222227620138,0.2880996893030104,1.0,0.830898583186465,0.16910141681353508,1.0,0.7552000000000001,122.4,2.0,0.723020601272583
std,1557.5418300311055,5.658482311738777,0.050372022075925275,0.0,0.03437733373229796,0.03437733373229795,0.0,0.051295223949213875,25.647611974606914,1.5811388300841898,1.2354095729839045
min,5.705781471491862,-12.5941218811869,0.223463687150838,1.0,0.7938144329896907,0.12578616352201258,1.0,0.6819999999999999,97.0,0.0,0.16223812103271484
max,3685.21969795788,0.9691435235204322,0.3418803418803419,1.0,0.8742138364779874,0.20618556701030927,1.0,0.806,159.0,4.0,2.9329707622528076
