mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,repeat,method,sigma,snr,train_time,best_gamma,best_alpha,best_lambda_ridge
0.27911508685201086,0.9987350757568452,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,fixed_ridge,0.5,884.7477099885966,4.554445028305054,1.0,0.01905907636755612,10.0
0.2751031525955664,0.9987532574788014,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,0,ridgecv,0.5,884.7477099885966,4.425215005874634,1.0,0.013873013718839087,10.0
0.36039696361723234,0.9980456210426109,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,1,fixed_ridge,0.5,796.6719877101971,4.2996087074279785,1.0,0.02457842032670683,10.0
0.36039696361723284,0.9980456210426109,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,1,ridgecv,0.5,796.6719877101971,6.122555732727051,1.0,0.02457842032670683,10.0
0.552155508158037,0.997429202323816,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,2,fixed_ridge,0.5,791.0687375690296,3.991128921508789,0.7,0.03442908337602967,10.0
0.5696466050871847,0.9973477649919865,1.0,1.0,0.0,1.0,1.0,0.96,20,2,ridgecv,0.5,791.0687375690296,7.547084093093872,1.0,0.03442908337602967,0.1
0.6995779823464235,0.9965164690641385,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,3,fixed_ridge,0.5,746.3724398214209,3.8568978309631348,1.0,0.044301402066904166,10.0
0.7532574017806687,0.9962491737476235,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,3,ridgecv,0.5,746.3724398214209,9.763304471969604,1.0,0.060862320350504914,10.0
0.7102254681880567,0.9971067073125919,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,4,fixed_ridge,0.5,768.1500160423583,3.5128257274627686,1.0,0.024181837344021205,10.0
0.7102254681880569,0.9971067073125919,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,4,ridgecv,0.5,768.1500160423583,4.888530969619751,1.0,0.024181837344021205,10.0
1.0733027934274608,0.9950824613719887,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0,fixed_ridge,1.0,221.18692749714916,6.408426523208618,1.0,0.03597599547911681,10.0
1.07330279342746,0.9950824613719887,0.8695652173913044,1.0,0.23076923076923078,0.7692307692307693,1.0,0.948,26,0,ridgecv,1.0,221.18692749714916,6.211247682571411,1.0,0.03597599547911677,10.0
1.1822587681365075,0.9936693896692517,0.7843137254901961,1.0,0.3548387096774194,0.6451612903225806,1.0,0.938,31,1,fixed_ridge,1.0,199.16799692754927,5.936121463775635,1.0,0.04645382567821255,10.0
1.2071044267758673,0.9935363492660035,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,1,ridgecv,1.0,199.16799692754927,7.664520740509033,1.0,0.06381937112654136,10.0
1.3969738601837054,0.9934827589484106,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,fixed_ridge,1.0,197.7671843922574,5.344136714935303,1.0,0.04734387916829447,10.0
1.3969738601837058,0.9934827589484106,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,ridgecv,1.0,197.7671843922574,7.352457284927368,1.0,0.04734387916829447,10.0
1.8624069649993253,0.9906810006093917,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,3,fixed_ridge,1.0,186.59310995535523,5.248773574829102,1.0,0.08404675363867485,10.0
1.874802552448224,0.9906189763182172,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,3,ridgecv,1.0,186.59310995535523,9.69687032699585,1.0,0.08404675363867485,100.0
1.7446167742787746,0.9929487924959678,0.888888888888889,1.0,0.2,0.8,1.0,0.95,25,4,fixed_ridge,1.0,192.03750401058957,4.966348886489868,1.0,0.045297186133280806,10.0
1.7238764952821408,0.9930326183613687,0.851063829787234,1.0,0.25925925925925924,0.7407407407407407,1.0,0.946,27,4,ridgecv,1.0,192.03750401058957,7.3361921310424805,1.0,0.04514247591276255,100.0
4.784197339432836,0.9777218910469084,0.6557377049180327,1.0,0.5121951219512195,0.4878048780487805,1.0,0.918,41,0,fixed_ridge,2.0,55.29673187428729,7.045822858810425,0.5,0.12818427251767564,10.0
4.542191763356205,0.9788488150027104,0.625,1.0,0.5454545454545454,0.45454545454545453,1.0,0.912,44,0,ridgecv,2.0,55.29673187428729,7.7671849727630615,0.7,0.09330474031807183,100.0
5.986443489141284,0.9689523758572745,0.33613445378151263,1.0,0.797979797979798,0.20202020202020202,1.0,0.802,99,1,fixed_ridge,2.0,49.79199923188732,7.184384346008301,0.3,0.06399718830734548,10.0
5.784950201293355,0.9699973849481867,0.3846153846153846,1.0,0.7619047619047619,0.23809523809523808,1.0,0.832,84,1,ridgecv,2.0,49.79199923188732,8.068179607391357,0.3,0.08792086016625338,100.0
5.934622743172312,0.9723616197384324,0.5063291139240507,1.0,0.6610169491525424,0.3389830508474576,1.0,0.882,59,2,fixed_ridge,2.0,49.44179609806435,6.064552307128906,0.3,0.16679161439274345,10.0
5.905067959111649,0.9724992605617445,0.4819277108433735,1.0,0.6825396825396826,0.31746031746031744,1.0,0.874,63,2,ridgecv,2.0,49.44179609806435,7.7437567710876465,0.3,0.16896685553971166,100.0
6.5227155559811685,0.9673870933102908,0.7017543859649124,1.0,0.4594594594594595,0.5405405405405406,1.0,0.926,37,3,fixed_ridge,2.0,46.64827748883881,6.13942289352417,0.5,0.16026231438691985,10.0
6.340940603303924,0.9682959493717441,0.7547169811320755,1.0,0.3939393939393939,0.6060606060606061,1.0,0.9339999999999999,33,3,ridgecv,2.0,46.64827748883881,10.171467781066895,1.0,0.0849120529756372,100.0
5.842858829518606,0.9769016374224295,0.7017543859649124,1.0,0.4594594594594595,0.5405405405405406,1.0,0.926,37,4,fixed_ridge,2.0,48.00937600264739,5.231212377548218,0.7,0.11787275593400647,10.0
5.742994980598527,0.9772964255660509,0.7843137254901961,1.0,0.3548387096774194,0.6451612903225806,1.0,0.938,31,4,ridgecv,2.0,48.00937600264739,6.997262239456177,1.0,0.08579903499067226,100.0
28.70057386957995,0.8661866017771925,0.40579710144927533,0.7,0.7142857142857143,0.2857142857142857,0.7,0.902,49,0,fixed_ridge,5.0,8.847477099885968,9.308491706848145,0.3,0.4582798809727569,10.0
28.480346964158112,0.8672133864933624,0.42253521126760557,0.75,0.7058823529411765,0.29411764705882354,0.75,0.898,51,0,ridgecv,5.0,8.847477099885968,11.79430103302002,0.3,0.45319799764508545,100.0
34.513120297847614,0.8444880681576815,0.20689655172413793,0.6,0.875,0.125,0.6,0.808,96,1,fixed_ridge,5.0,7.966719877101969,8.490636587142944,0.3,0.17130269670532156,10.0
33.87744203795558,0.8473523572562287,0.22413793103448273,0.65,0.8645833333333334,0.13541666666666666,0.65,0.808,96,1,ridgecv,5.0,7.966719877101969,9.709189891815186,0.3,0.17130269670532156,100.0
30.96180990442652,0.8628197293116655,0.3157894736842105,0.6,0.7857142857142857,0.21428571428571427,0.6,0.888,56,2,fixed_ridge,5.0,7.910687375690295,7.963486671447754,0.3,0.4244351242335458,10.0
30.738845552267353,0.8638076014766797,0.3037974683544304,0.6,0.7966101694915254,0.2033898305084746,0.6,0.882,59,2,ridgecv,5.0,7.910687375690295,10.858943939208984,0.3,0.4433546392622563,100.0
