experiment_id,experiment_name,family,repeat,sigma,mse,accuracy,auc,tpr,fdr,f1,n_selected,est_error,time_seconds
exp1,高维成对相关稀疏回归,gaussian,1,0.5,0.6834397570150073,nan,nan,1.0,0.7297297297297297,0.425531914893617,74,0.001956465734440527,2.5285065174102783
exp1,高维成对相关稀疏回归,gaussian,1,1.0,6.8928490440197985,nan,nan,0.95,0.8,0.33043478260869563,95,0.017591341984630773,1.3193233013153076
exp1,高维成对相关稀疏回归,gaussian,1,2.5,12.06594573410129,nan,nan,0.95,0.831858407079646,0.2857142857142857,113,0.019216921188914597,1.1972200870513916
exp1,高维成对相关稀疏回归,gaussian,2,0.5,1.871325385513314,nan,nan,1.0,0.7752808988764045,0.3669724770642202,89,0.006960918238727082,1.2549514770507812
exp1,高维成对相关稀疏回归,gaussian,2,1.0,3.1072814837221263,nan,nan,0.9,0.7567567567567568,0.3829787234042553,74,0.012760175384966562,1.0427706241607666
exp1,高维成对相关稀疏回归,gaussian,2,2.5,13.13393681067944,nan,nan,0.9,0.8407079646017699,0.2706766917293233,113,0.027432318405836112,1.2534534931182861
exp1,高维成对相关稀疏回归,gaussian,3,0.5,4.719002404747547,nan,nan,0.95,0.8173076923076923,0.3064516129032258,104,0.01816895798294832,1.31573486328125
exp1,高维成对相关稀疏回归,gaussian,3,1.0,5.906165599259268,nan,nan,1.0,0.8305084745762712,0.2898550724637681,118,0.014398433490724876,1.2833361625671387
exp1,高维成对相关稀疏回归,gaussian,3,2.5,12.0139429145793,nan,nan,0.95,0.75,0.3958333333333333,76,0.01718931262770513,1.2839601039886475
