experiment_id,experiment_name,family,repeat,sigma,mse,accuracy,auc,tpr,fdr,f1,n_selected,est_error,time_seconds
exp1,高维成对相关稀疏回归,gaussian,1,0.5,0.7385776711314042,nan,nan,1.0,0.7468354430379747,0.40404040404040403,79,0.0022609906204724165,2.597503900527954
exp1,高维成对相关稀疏回归,gaussian,1,1.0,15.812857264569518,nan,nan,1.0,0.911504424778761,0.16260162601626016,226,0.009774481730467188,1.5066933631896973
exp1,高维成对相关稀疏回归,gaussian,1,2.5,39.63723789824753,nan,nan,0.95,0.9188034188034188,0.14960629921259844,234,0.03539514743453543,1.4980347156524658
exp1,高维成对相关稀疏回归,gaussian,2,0.5,3.3220397345733286,nan,nan,1.0,0.9014778325123153,0.17937219730941703,203,0.0031210962935820765,1.4628937244415283
exp1,高维成对相关稀疏回归,gaussian,2,1.0,8.367547763666662,nan,nan,1.0,0.8857142857142857,0.20512820512820512,175,0.007343627464016942,1.4552874565124512
exp1,高维成对相关稀疏回归,gaussian,2,2.5,50.90291610113244,nan,nan,1.0,0.927536231884058,0.13513513513513514,276,0.06472620351059749,1.518549919128418
exp1,高维成对相关稀疏回归,gaussian,3,0.5,14.530615723775561,nan,nan,1.0,0.9300699300699301,0.13071895424836602,286,0.019247542501103023,1.545203685760498
exp1,高维成对相关稀疏回归,gaussian,3,1.0,7.0394775686041715,nan,nan,1.0,0.8611111111111112,0.24390243902439024,144,0.008619631410848627,1.3660459518432617
exp1,高维成对相关稀疏回归,gaussian,3,2.5,21.301331434969406,nan,nan,1.0,0.9043062200956937,0.17467248908296942,209,0.03662253359393688,1.4301397800445557
