sigma,snr,model,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std
0.1,10.0,UniLassoCV,0.8265,0.0436,0.2879,0.1033,1.0,0.0,0.2929,0.0625,0.7071,0.0625,1.0,0.0,0.9962,0.0015
0.5,2.0,UniLassoCV,0.8329,0.0342,0.6433,0.0439,1.0,0.0,0.2846,0.0498,0.7154,0.0498,1.0,0.0,0.9915,0.0012
1.0,1.0,UniLassoCV,0.8263,0.0394,2.4573,0.2767,0.988,0.013,0.2882,0.0533,0.7118,0.0533,0.988,0.013,0.9678,0.0043
1.5,0.67,UniLassoCV,0.8119,0.0392,5.61,0.5098,0.958,0.0179,0.2934,0.0541,0.7066,0.0541,0.958,0.0179,0.928,0.0088
2.0,0.5,UniLassoCV,0.7741,0.0458,9.6964,0.8825,0.886,0.0329,0.3095,0.0561,0.6905,0.0561,0.886,0.0329,0.878,0.0137
3.0,0.33,UniLassoCV,0.6813,0.0307,20.1626,1.2962,0.708,0.0249,0.3361,0.0653,0.6639,0.0653,0.708,0.0249,0.7604,0.0251
